group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Rarity,demonstration.o,,,1112644.0,ns,6
Engine,Rarity,demonstration.o,,,2225082.0,ns,12
Engine,Rarity,demonstration.o,,,3281405.0,ns,18
Engine,Rarity,demonstration.o,,,4452869.0,ns,24
Engine,Rarity,demonstration.o,,,5567898.0,ns,30
Engine,Rarity,demonstration.o,,,6652143.0,ns,36
Engine,Rarity,demonstration.o,,,7769494.0,ns,42
Engine,Rarity,demonstration.o,,,10252808.0,ns,48
Engine,Rarity,demonstration.o,,,12701043.0,ns,54
Engine,Rarity,demonstration.o,,,14210492.0,ns,60
Engine,Rarity,demonstration.o,,,15688496.0,ns,66
Engine,Rarity,demonstration.o,,,16975148.0,ns,72
Engine,Rarity,demonstration.o,,,18292348.0,ns,78
Engine,Rarity,demonstration.o,,,19821225.0,ns,84
Engine,Rarity,demonstration.o,,,21150638.0,ns,90
Engine,Rarity,demonstration.o,,,22555888.0,ns,96
Engine,Rarity,demonstration.o,,,23981138.0,ns,102
Engine,Rarity,demonstration.o,,,25384252.0,ns,108
Engine,Rarity,demonstration.o,,,26830465.0,ns,114
Engine,Rarity,demonstration.o,,,28343183.0,ns,120
Engine,Rarity,demonstration.o,,,29696507.0,ns,126
Engine,Rarity,demonstration.o,,,31167372.0,ns,132
Engine,Rarity,demonstration.o,,,32608345.0,ns,138
Engine,Rarity,demonstration.o,,,33851878.0,ns,144
Engine,Rarity,demonstration.o,,,35309438.0,ns,150
Engine,Rarity,demonstration.o,,,36662055.0,ns,156
Engine,Rarity,demonstration.o,,,38162815.0,ns,162
Engine,Rarity,demonstration.o,,,39527458.0,ns,168
Engine,Rarity,demonstration.o,,,40877183.0,ns,174
Engine,Rarity,demonstration.o,,,42487481.0,ns,180
Engine,Rarity,demonstration.o,,,43841180.0,ns,186
Engine,Rarity,demonstration.o,,,45195850.0,ns,192
Engine,Rarity,demonstration.o,,,46616940.0,ns,198
Engine,Rarity,demonstration.o,,,48008994.0,ns,204
Engine,Rarity,demonstration.o,,,49449346.0,ns,210
Engine,Rarity,demonstration.o,,,50925467.0,ns,216
Engine,Rarity,demonstration.o,,,52331285.0,ns,222
Engine,Rarity,demonstration.o,,,53776572.0,ns,228
Engine,Rarity,demonstration.o,,,55183394.0,ns,234
Engine,Rarity,demonstration.o,,,56619592.0,ns,240
Engine,Rarity,demonstration.o,,,57904976.0,ns,246
Engine,Rarity,demonstration.o,,,59451363.0,ns,252
Engine,Rarity,demonstration.o,,,60845181.0,ns,258
Engine,Rarity,demonstration.o,,,62085668.0,ns,264
Engine,Rarity,demonstration.o,,,63773066.0,ns,270
Engine,Rarity,demonstration.o,,,64979161.0,ns,276
Engine,Rarity,demonstration.o,,,66253820.0,ns,282
Engine,Rarity,demonstration.o,,,67815741.0,ns,288
Engine,Rarity,demonstration.o,,,69383726.0,ns,294
Engine,Rarity,demonstration.o,,,70717164.0,ns,300
Engine,Rarity,demonstration.o,,,72211253.0,ns,306
Engine,Rarity,demonstration.o,,,73634030.0,ns,312
Engine,Rarity,demonstration.o,,,74826408.0,ns,318
Engine,Rarity,demonstration.o,,,76422542.0,ns,324
Engine,Rarity,demonstration.o,,,77902836.0,ns,330
Engine,Rarity,demonstration.o,,,79259857.0,ns,336
Engine,Rarity,demonstration.o,,,80748879.0,ns,342
Engine,Rarity,demonstration.o,,,73480597.0,ns,348
Engine,Rarity,demonstration.o,,,65358823.0,ns,354
Engine,Rarity,demonstration.o,,,66594792.0,ns,360
Engine,Rarity,demonstration.o,,,67336457.0,ns,366
Engine,Rarity,demonstration.o,,,68631645.0,ns,372
