group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Rarity,if-simple.o,,,1251089.0,ns,4
Engine,Rarity,if-simple.o,,,2000133.0,ns,8
Engine,Rarity,if-simple.o,,,3455534.0,ns,12
Engine,Rarity,if-simple.o,,,4856165.0,ns,16
Engine,Rarity,if-simple.o,,,6644666.0,ns,20
Engine,Rarity,if-simple.o,,,8062593.0,ns,24
Engine,Rarity,if-simple.o,,,8972527.0,ns,28
Engine,Rarity,if-simple.o,,,10262268.0,ns,32
Engine,Rarity,if-simple.o,,,9967364.0,ns,36
Engine,Rarity,if-simple.o,,,11910440.0,ns,40
Engine,Rarity,if-simple.o,,,12280025.0,ns,44
Engine,Rarity,if-simple.o,,,14749290.0,ns,48
Engine,Rarity,if-simple.o,,,15827566.0,ns,52
Engine,Rarity,if-simple.o,,,18235553.0,ns,56
Engine,Rarity,if-simple.o,,,17769486.0,ns,60
Engine,Rarity,if-simple.o,,,18621710.0,ns,64
Engine,Rarity,if-simple.o,,,20657611.0,ns,68
Engine,Rarity,if-simple.o,,,21945422.0,ns,72
Engine,Rarity,if-simple.o,,,24053854.0,ns,76
Engine,Rarity,if-simple.o,,,23568150.0,ns,80
Engine,Rarity,if-simple.o,,,25538446.0,ns,84
Engine,Rarity,if-simple.o,,,26540316.0,ns,88
Engine,Rarity,if-simple.o,,,27927938.0,ns,92
Engine,Rarity,if-simple.o,,,29405636.0,ns,96
Engine,Rarity,if-simple.o,,,29458034.0,ns,100
Engine,Rarity,if-simple.o,,,31510419.0,ns,104
Engine,Rarity,if-simple.o,,,33729828.0,ns,108
Engine,Rarity,if-simple.o,,,33749943.0,ns,112
Engine,Rarity,if-simple.o,,,35449060.0,ns,116
Engine,Rarity,if-simple.o,,,36284188.0,ns,120
Engine,Rarity,if-simple.o,,,38360370.0,ns,124
Engine,Rarity,if-simple.o,,,39173975.0,ns,128
Engine,Rarity,if-simple.o,,,39655689.0,ns,132
Engine,Rarity,if-simple.o,,,41237314.0,ns,136
Engine,Rarity,if-simple.o,,,42007178.0,ns,140
Engine,Rarity,if-simple.o,,,45989037.0,ns,144
Engine,Rarity,if-simple.o,,,45995305.0,ns,148
Engine,Rarity,if-simple.o,,,47216007.0,ns,152
Engine,Rarity,if-simple.o,,,47739367.0,ns,156
Engine,Rarity,if-simple.o,,,49748564.0,ns,160
Engine,Rarity,if-simple.o,,,50009092.0,ns,164
Engine,Rarity,if-simple.o,,,52279873.0,ns,168
Engine,Rarity,if-simple.o,,,51240882.0,ns,172
Engine,Rarity,if-simple.o,,,54046053.0,ns,176
Engine,Rarity,if-simple.o,,,54219742.0,ns,180
Engine,Rarity,if-simple.o,,,55701832.0,ns,184
Engine,Rarity,if-simple.o,,,56960818.0,ns,188
Engine,Rarity,if-simple.o,,,57406392.0,ns,192
Engine,Rarity,if-simple.o,,,59801396.0,ns,196
Engine,Rarity,if-simple.o,,,61110086.0,ns,200
Engine,Rarity,if-simple.o,,,62546650.0,ns,204
Engine,Rarity,if-simple.o,,,64800891.0,ns,208
Engine,Rarity,if-simple.o,,,64735603.0,ns,212
Engine,Rarity,if-simple.o,,,66648705.0,ns,216
Engine,Rarity,if-simple.o,,,67886839.0,ns,220
Engine,Rarity,if-simple.o,,,69282131.0,ns,224
Engine,Rarity,if-simple.o,,,70597857.0,ns,228
Engine,Rarity,if-simple.o,,,68784116.0,ns,232
Engine,Rarity,if-simple.o,,,73013910.0,ns,236
Engine,Rarity,if-simple.o,,,74248719.0,ns,240
Engine,Rarity,if-simple.o,,,73523144.0,ns,244
Engine,Rarity,if-simple.o,,,74954285.0,ns,248
Engine,Rarity,if-simple.o,,,77749708.0,ns,252
Engine,Rarity,if-simple.o,,,78986034.0,ns,256
Engine,Rarity,if-simple.o,,,76823781.0,ns,260
Engine,Rarity,if-simple.o,,,81217761.0,ns,264
Engine,Rarity,if-simple.o,,,81447232.0,ns,268
Engine,Rarity,if-simple.o,,,82982026.0,ns,272
Engine,Rarity,if-simple.o,,,84574950.0,ns,276
Engine,Rarity,if-simple.o,,,85065591.0,ns,280
Engine,Rarity,if-simple.o,,,87297326.0,ns,284
Engine,Rarity,if-simple.o,,,87672772.0,ns,288
Engine,Rarity,if-simple.o,,,87934728.0,ns,292
Engine,Rarity,if-simple.o,,,90223402.0,ns,296
Engine,Rarity,if-simple.o,,,92784535.0,ns,300
Engine,Rarity,if-simple.o,,,92863224.0,ns,304
Engine,Rarity,if-simple.o,,,92342035.0,ns,308
Engine,Rarity,if-simple.o,,,95380605.0,ns,312
Engine,Rarity,if-simple.o,,,96332921.0,ns,316
Engine,Rarity,if-simple.o,,,97585603.0,ns,320
Engine,Rarity,if-simple.o,,,98719969.0,ns,324
Engine,Rarity,if-simple.o,,,100028396.0,ns,328
Engine,Rarity,if-simple.o,,,101607067.0,ns,332
Engine,Rarity,if-simple.o,,,102545235.0,ns,336
Engine,Rarity,if-simple.o,,,106777842.0,ns,340
Engine,Rarity,if-simple.o,,,105828935.0,ns,344
Engine,Rarity,if-simple.o,,,105106537.0,ns,348
Engine,Rarity,if-simple.o,,,105412693.0,ns,352
Engine,Rarity,if-simple.o,,,110758004.0,ns,356
Engine,Rarity,if-simple.o,,,109422617.0,ns,360
Engine,Rarity,if-simple.o,,,108899811.0,ns,364
Engine,Rarity,if-simple.o,,,113025205.0,ns,368
Engine,Rarity,if-simple.o,,,113985000.0,ns,372
Engine,Rarity,if-simple.o,,,111921637.0,ns,376
Engine,Rarity,if-simple.o,,,115892237.0,ns,380
Engine,Rarity,if-simple.o,,,119290578.0,ns,384
Engine,Rarity,if-simple.o,,,117503867.0,ns,388
Engine,Rarity,if-simple.o,,,120322154.0,ns,392
Engine,Rarity,if-simple.o,,,121205003.0,ns,396
Engine,Rarity,if-simple.o,,,122230751.0,ns,400
