group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,multiple-read.c,,,92036804.0,ns,4
Path Exploration Strategies,Coin Flip,multiple-read.c,,,184161513.0,ns,8
Path Exploration Strategies,Coin Flip,multiple-read.c,,,276348327.0,ns,12
Path Exploration Strategies,Coin Flip,multiple-read.c,,,368001620.0,ns,16
Path Exploration Strategies,Coin Flip,multiple-read.c,,,460283999.0,ns,20
Path Exploration Strategies,Coin Flip,multiple-read.c,,,552134363.0,ns,24
Path Exploration Strategies,Coin Flip,multiple-read.c,,,644203698.0,ns,28
Path Exploration Strategies,Coin Flip,multiple-read.c,,,736039928.0,ns,32
Path Exploration Strategies,Coin Flip,multiple-read.c,,,828343054.0,ns,36
Path Exploration Strategies,Coin Flip,multiple-read.c,,,920643690.0,ns,40
