group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,demonstration.c,,,123641324.0,ns,3
Path Exploration Strategies,Shortest Path,demonstration.c,,,247556528.0,ns,6
Path Exploration Strategies,Shortest Path,demonstration.c,,,370797738.0,ns,9
Path Exploration Strategies,Shortest Path,demonstration.c,,,494674992.0,ns,12
Path Exploration Strategies,Shortest Path,demonstration.c,,,618361932.0,ns,15
Path Exploration Strategies,Shortest Path,demonstration.c,,,741926722.0,ns,18
Path Exploration Strategies,Shortest Path,demonstration.c,,,865717472.0,ns,21
Path Exploration Strategies,Shortest Path,demonstration.c,,,989471867.0,ns,24
Path Exploration Strategies,Shortest Path,demonstration.c,,,1113313854.0,ns,27
Path Exploration Strategies,Shortest Path,demonstration.c,,,1237430022.0,ns,30
