group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,echo-line.c,,,95709986.0,ns,5
Path Exploration Strategies,Shortest Path,echo-line.c,,,191211867.0,ns,10
Path Exploration Strategies,Shortest Path,echo-line.c,,,286791368.0,ns,15
Path Exploration Strategies,Shortest Path,echo-line.c,,,382529448.0,ns,20
Path Exploration Strategies,Shortest Path,echo-line.c,,,478081241.0,ns,25
Path Exploration Strategies,Shortest Path,echo-line.c,,,573545130.0,ns,30
Path Exploration Strategies,Shortest Path,echo-line.c,,,669294110.0,ns,35
Path Exploration Strategies,Shortest Path,echo-line.c,,,764914093.0,ns,40
Path Exploration Strategies,Shortest Path,echo-line.c,,,860709473.0,ns,45
Path Exploration Strategies,Shortest Path,echo-line.c,,,956252401.0,ns,50
