group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,106648866.0,ns,6
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,212983224.0,ns,12
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,320051204.0,ns,18
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,426214197.0,ns,24
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,532623037.0,ns,30
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,639533852.0,ns,36
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,746108457.0,ns,42
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,852517481.0,ns,48
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,959456692.0,ns,54
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,1065709833.0,ns,60
