group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,multiple-read.c,,,91370954.0,ns,4
Path Exploration Strategies,Shortest Path,multiple-read.c,,,182824945.0,ns,8
Path Exploration Strategies,Shortest Path,multiple-read.c,,,274289356.0,ns,12
Path Exploration Strategies,Shortest Path,multiple-read.c,,,366033676.0,ns,16
Path Exploration Strategies,Shortest Path,multiple-read.c,,,457112140.0,ns,20
Path Exploration Strategies,Shortest Path,multiple-read.c,,,548753995.0,ns,24
Path Exploration Strategies,Shortest Path,multiple-read.c,,,639813419.0,ns,28
Path Exploration Strategies,Shortest Path,multiple-read.c,,,731104961.0,ns,32
Path Exploration Strategies,Shortest Path,multiple-read.c,,,822944384.0,ns,36
Path Exploration Strategies,Shortest Path,multiple-read.c,,,914070993.0,ns,40
