group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Rarity,select-rare.o,,,1811822.0,ns,1
Engine,Rarity,select-rare.o,,,3619706.0,ns,2
Engine,Rarity,select-rare.o,,,5413077.0,ns,3
Engine,Rarity,select-rare.o,,,7220217.0,ns,4
Engine,Rarity,select-rare.o,,,9051526.0,ns,5
Engine,Rarity,select-rare.o,,,10888120.0,ns,6
Engine,Rarity,select-rare.o,,,12650871.0,ns,7
Engine,Rarity,select-rare.o,,,14471276.0,ns,8
Engine,Rarity,select-rare.o,,,16297128.0,ns,9
Engine,Rarity,select-rare.o,,,18046278.0,ns,10
Engine,Rarity,select-rare.o,,,19905393.0,ns,11
Engine,Rarity,select-rare.o,,,21699250.0,ns,12
Engine,Rarity,select-rare.o,,,23497612.0,ns,13
Engine,Rarity,select-rare.o,,,25253955.0,ns,14
Engine,Rarity,select-rare.o,,,27081455.0,ns,15
Engine,Rarity,select-rare.o,,,28910432.0,ns,16
Engine,Rarity,select-rare.o,,,30709354.0,ns,17
Engine,Rarity,select-rare.o,,,32503024.0,ns,18
Engine,Rarity,select-rare.o,,,34342814.0,ns,19
Engine,Rarity,select-rare.o,,,36062692.0,ns,20
Engine,Rarity,select-rare.o,,,37866245.0,ns,21
Engine,Rarity,select-rare.o,,,39845117.0,ns,22
Engine,Rarity,select-rare.o,,,41543050.0,ns,23
Engine,Rarity,select-rare.o,,,43364736.0,ns,24
Engine,Rarity,select-rare.o,,,45142554.0,ns,25
Engine,Rarity,select-rare.o,,,46936607.0,ns,26
Engine,Rarity,select-rare.o,,,48700661.0,ns,27
Engine,Rarity,select-rare.o,,,50536199.0,ns,28
Engine,Rarity,select-rare.o,,,52362371.0,ns,29
Engine,Rarity,select-rare.o,,,54114899.0,ns,30
Engine,Rarity,select-rare.o,,,56007754.0,ns,31
Engine,Rarity,select-rare.o,,,57816940.0,ns,32
Engine,Rarity,select-rare.o,,,59655873.0,ns,33
Engine,Rarity,select-rare.o,,,61393711.0,ns,34
Engine,Rarity,select-rare.o,,,63243734.0,ns,35
Engine,Rarity,select-rare.o,,,65011361.0,ns,36
Engine,Rarity,select-rare.o,,,66833757.0,ns,37
Engine,Rarity,select-rare.o,,,68582736.0,ns,38
Engine,Rarity,select-rare.o,,,70433335.0,ns,39
Engine,Rarity,select-rare.o,,,72245821.0,ns,40
Engine,Rarity,select-rare.o,,,74043233.0,ns,41
Engine,Rarity,select-rare.o,,,75858583.0,ns,42
Engine,Rarity,select-rare.o,,,77698340.0,ns,43
Engine,Rarity,select-rare.o,,,79416717.0,ns,44
Engine,Rarity,select-rare.o,,,81226250.0,ns,45
Engine,Rarity,select-rare.o,,,83133924.0,ns,46
Engine,Rarity,select-rare.o,,,84795739.0,ns,47
Engine,Rarity,select-rare.o,,,86873811.0,ns,48
Engine,Rarity,select-rare.o,,,88380640.0,ns,49
Engine,Rarity,select-rare.o,,,90284792.0,ns,50
Engine,Rarity,select-rare.o,,,92118400.0,ns,51
Engine,Rarity,select-rare.o,,,94164359.0,ns,52
Engine,Rarity,select-rare.o,,,95712816.0,ns,53
Engine,Rarity,select-rare.o,,,97488254.0,ns,54
Engine,Rarity,select-rare.o,,,99251621.0,ns,55
Engine,Rarity,select-rare.o,,,101162215.0,ns,56
Engine,Rarity,select-rare.o,,,102974449.0,ns,57
Engine,Rarity,select-rare.o,,,104777968.0,ns,58
Engine,Rarity,select-rare.o,,,106574906.0,ns,59
Engine,Rarity,select-rare.o,,,108319144.0,ns,60
Engine,Rarity,select-rare.o,,,110243564.0,ns,61
Engine,Rarity,select-rare.o,,,112080210.0,ns,62
Engine,Rarity,select-rare.o,,,113746292.0,ns,63
Engine,Rarity,select-rare.o,,,115659965.0,ns,64
Engine,Rarity,select-rare.o,,,117354579.0,ns,65
Engine,Rarity,select-rare.o,,,119223345.0,ns,66
Engine,Rarity,select-rare.o,,,121131709.0,ns,67
Engine,Rarity,select-rare.o,,,122762821.0,ns,68
Engine,Rarity,select-rare.o,,,124622874.0,ns,69
Engine,Rarity,select-rare.o,,,126574720.0,ns,70
Engine,Rarity,select-rare.o,,,128307586.0,ns,71
Engine,Rarity,select-rare.o,,,130071708.0,ns,72
Engine,Rarity,select-rare.o,,,131772656.0,ns,73
Engine,Rarity,select-rare.o,,,133688782.0,ns,74
Engine,Rarity,select-rare.o,,,135389238.0,ns,75
Engine,Rarity,select-rare.o,,,137247116.0,ns,76
Engine,Rarity,select-rare.o,,,138988141.0,ns,77
Engine,Rarity,select-rare.o,,,140881002.0,ns,78
Engine,Rarity,select-rare.o,,,142583566.0,ns,79
Engine,Rarity,select-rare.o,,,144513974.0,ns,80
Engine,Rarity,select-rare.o,,,146344914.0,ns,81
Engine,Rarity,select-rare.o,,,148199835.0,ns,82
Engine,Rarity,select-rare.o,,,149842618.0,ns,83
Engine,Rarity,select-rare.o,,,151818929.0,ns,84
Engine,Rarity,select-rare.o,,,153625761.0,ns,85
Engine,Rarity,select-rare.o,,,155411691.0,ns,86
Engine,Rarity,select-rare.o,,,156992875.0,ns,87
Engine,Rarity,select-rare.o,,,158894569.0,ns,88
Engine,Rarity,select-rare.o,,,160813149.0,ns,89
Engine,Rarity,select-rare.o,,,162602454.0,ns,90
Engine,Rarity,select-rare.o,,,164440993.0,ns,91
Engine,Rarity,select-rare.o,,,166072359.0,ns,92
Engine,Rarity,select-rare.o,,,168168174.0,ns,93
Engine,Rarity,select-rare.o,,,169964038.0,ns,94
Engine,Rarity,select-rare.o,,,171780777.0,ns,95
Engine,Rarity,select-rare.o,,,173564862.0,ns,96
Engine,Rarity,select-rare.o,,,175428520.0,ns,97
Engine,Rarity,select-rare.o,,,176910546.0,ns,98
Engine,Rarity,select-rare.o,,,178850704.0,ns,99
Engine,Rarity,select-rare.o,,,180659962.0,ns,100
