group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Z3,demonstration.o,,,80102909.0,ns,2
Engine,Z3,demonstration.o,,,80070669.0,ns,2
Engine,Z3,demonstration.o,,,80022525.0,ns,2
Engine,Z3,demonstration.o,,,80066734.0,ns,2
Engine,Z3,demonstration.o,,,79971538.0,ns,2
Engine,Z3,demonstration.o,,,80052404.0,ns,2
Engine,Z3,demonstration.o,,,80005660.0,ns,2
Engine,Z3,demonstration.o,,,79923851.0,ns,2
Engine,Z3,demonstration.o,,,80052506.0,ns,2
Engine,Z3,demonstration.o,,,80033098.0,ns,2
Engine,Z3,demonstration.o,,,79955543.0,ns,2
Engine,Z3,demonstration.o,,,79914341.0,ns,2
Engine,Z3,demonstration.o,,,79945104.0,ns,2
Engine,Z3,demonstration.o,,,79945819.0,ns,2
Engine,Z3,demonstration.o,,,79956180.0,ns,2
Engine,Z3,demonstration.o,,,79975749.0,ns,2
Engine,Z3,demonstration.o,,,80172352.0,ns,2
Engine,Z3,demonstration.o,,,80067267.0,ns,2
Engine,Z3,demonstration.o,,,80130434.0,ns,2
Engine,Z3,demonstration.o,,,80114761.0,ns,2
Engine,Z3,demonstration.o,,,80114757.0,ns,2
Engine,Z3,demonstration.o,,,80259318.0,ns,2
Engine,Z3,demonstration.o,,,80184016.0,ns,2
Engine,Z3,demonstration.o,,,80080294.0,ns,2
Engine,Z3,demonstration.o,,,80186673.0,ns,2
Engine,Z3,demonstration.o,,,80246729.0,ns,2
Engine,Z3,demonstration.o,,,80186713.0,ns,2
Engine,Z3,demonstration.o,,,80135283.0,ns,2
Engine,Z3,demonstration.o,,,80166274.0,ns,2
Engine,Z3,demonstration.o,,,80167754.0,ns,2
Engine,Z3,demonstration.o,,,80175413.0,ns,2
Engine,Z3,demonstration.o,,,80163319.0,ns,2
Engine,Z3,demonstration.o,,,80067004.0,ns,2
Engine,Z3,demonstration.o,,,79991907.0,ns,2
Engine,Z3,demonstration.o,,,80365718.0,ns,2
Engine,Z3,demonstration.o,,,80041837.0,ns,2
Engine,Z3,demonstration.o,,,80050685.0,ns,2
Engine,Z3,demonstration.o,,,80024099.0,ns,2
Engine,Z3,demonstration.o,,,80289928.0,ns,2
Engine,Z3,demonstration.o,,,80195056.0,ns,2
Engine,Z3,demonstration.o,,,80138734.0,ns,2
Engine,Z3,demonstration.o,,,80144835.0,ns,2
Engine,Z3,demonstration.o,,,80294810.0,ns,2
Engine,Z3,demonstration.o,,,80147657.0,ns,2
Engine,Z3,demonstration.o,,,80023063.0,ns,2
Engine,Z3,demonstration.o,,,80142663.0,ns,2
Engine,Z3,demonstration.o,,,80084620.0,ns,2
Engine,Z3,demonstration.o,,,80152923.0,ns,2
Engine,Z3,demonstration.o,,,80071684.0,ns,2
Engine,Z3,demonstration.o,,,80044137.0,ns,2
Engine,Z3,demonstration.o,,,79969171.0,ns,2
Engine,Z3,demonstration.o,,,80089465.0,ns,2
Engine,Z3,demonstration.o,,,80169814.0,ns,2
Engine,Z3,demonstration.o,,,80038577.0,ns,2
Engine,Z3,demonstration.o,,,80112165.0,ns,2
Engine,Z3,demonstration.o,,,80061127.0,ns,2
Engine,Z3,demonstration.o,,,80080516.0,ns,2
Engine,Z3,demonstration.o,,,80129801.0,ns,2
Engine,Z3,demonstration.o,,,80129617.0,ns,2
Engine,Z3,demonstration.o,,,80158745.0,ns,2
Engine,Z3,demonstration.o,,,80137620.0,ns,2
Engine,Z3,demonstration.o,,,80186679.0,ns,2
Engine,Z3,demonstration.o,,,80087812.0,ns,2
Engine,Z3,demonstration.o,,,80197117.0,ns,2
Engine,Z3,demonstration.o,,,80038919.0,ns,2
Engine,Z3,demonstration.o,,,80133481.0,ns,2
Engine,Z3,demonstration.o,,,80158691.0,ns,2
Engine,Z3,demonstration.o,,,80014940.0,ns,2
Engine,Z3,demonstration.o,,,80094380.0,ns,2
Engine,Z3,demonstration.o,,,80096437.0,ns,2
Engine,Z3,demonstration.o,,,80224196.0,ns,2
Engine,Z3,demonstration.o,,,80044156.0,ns,2
Engine,Z3,demonstration.o,,,80079094.0,ns,2
Engine,Z3,demonstration.o,,,80162741.0,ns,2
Engine,Z3,demonstration.o,,,80094842.0,ns,2
Engine,Z3,demonstration.o,,,80175939.0,ns,2
Engine,Z3,demonstration.o,,,80224451.0,ns,2
Engine,Z3,demonstration.o,,,80065904.0,ns,2
Engine,Z3,demonstration.o,,,80248207.0,ns,2
Engine,Z3,demonstration.o,,,80073039.0,ns,2
Engine,Z3,demonstration.o,,,80077039.0,ns,2
Engine,Z3,demonstration.o,,,80149658.0,ns,2
Engine,Z3,demonstration.o,,,80199018.0,ns,2
Engine,Z3,demonstration.o,,,80226937.0,ns,2
Engine,Z3,demonstration.o,,,80214887.0,ns,2
Engine,Z3,demonstration.o,,,80118285.0,ns,2
Engine,Z3,demonstration.o,,,80236327.0,ns,2
Engine,Z3,demonstration.o,,,80096436.0,ns,2
Engine,Z3,demonstration.o,,,80036356.0,ns,2
Engine,Z3,demonstration.o,,,80034412.0,ns,2
Engine,Z3,demonstration.o,,,80049939.0,ns,2
Engine,Z3,demonstration.o,,,80031353.0,ns,2
Engine,Z3,demonstration.o,,,80010790.0,ns,2
Engine,Z3,demonstration.o,,,80005150.0,ns,2
Engine,Z3,demonstration.o,,,79951312.0,ns,2
Engine,Z3,demonstration.o,,,80062952.0,ns,2
Engine,Z3,demonstration.o,,,80048223.0,ns,2
Engine,Z3,demonstration.o,,,80211522.0,ns,2
Engine,Z3,demonstration.o,,,79969180.0,ns,2
Engine,Z3,demonstration.o,,,80000427.0,ns,2
