group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,echo-line.c,,,96020208.0,ns,5
Path Exploration Strategies,Shortest Path,echo-line.c,,,192071876.0,ns,10
Path Exploration Strategies,Shortest Path,echo-line.c,,,288247359.0,ns,15
Path Exploration Strategies,Shortest Path,echo-line.c,,,384519480.0,ns,20
Path Exploration Strategies,Shortest Path,echo-line.c,,,480278176.0,ns,25
Path Exploration Strategies,Shortest Path,echo-line.c,,,576506290.0,ns,30
Path Exploration Strategies,Shortest Path,echo-line.c,,,672081462.0,ns,35
Path Exploration Strategies,Shortest Path,echo-line.c,,,768380059.0,ns,40
Path Exploration Strategies,Shortest Path,echo-line.c,,,864589732.0,ns,45
Path Exploration Strategies,Shortest Path,echo-line.c,,,960595120.0,ns,50
