group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,107464545.0,ns,6
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,214916064.0,ns,12
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,322594229.0,ns,18
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,430681163.0,ns,24
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,538542385.0,ns,30
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,645903227.0,ns,36
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,753306804.0,ns,42
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,860729245.0,ns,48
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,1117420477.0,ns,54
Path Exploration Strategies,Shortest Path,memory-invalid-write.c,,,1482394056.0,ns,60
