group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17056612882.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17066430083.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17048350094.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17064521095.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17068289013.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17075331117.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17083948976.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17064157649.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17050908946.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17081978251.0,ns,1
