group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Rarity,demonstration.o,,,1208414.0,ns,6
Engine,Rarity,demonstration.o,,,2184011.0,ns,12
Engine,Rarity,demonstration.o,,,3265446.0,ns,18
Engine,Rarity,demonstration.o,,,4404614.0,ns,24
Engine,Rarity,demonstration.o,,,5519127.0,ns,30
Engine,Rarity,demonstration.o,,,6638674.0,ns,36
Engine,Rarity,demonstration.o,,,7746308.0,ns,42
Engine,Rarity,demonstration.o,,,8773697.0,ns,48
Engine,Rarity,demonstration.o,,,9849364.0,ns,54
Engine,Rarity,demonstration.o,,,10967906.0,ns,60
Engine,Rarity,demonstration.o,,,12111005.0,ns,66
Engine,Rarity,demonstration.o,,,13249472.0,ns,72
Engine,Rarity,demonstration.o,,,14362396.0,ns,78
Engine,Rarity,demonstration.o,,,15496176.0,ns,84
Engine,Rarity,demonstration.o,,,16476440.0,ns,90
Engine,Rarity,demonstration.o,,,17646030.0,ns,96
Engine,Rarity,demonstration.o,,,18677270.0,ns,102
Engine,Rarity,demonstration.o,,,19759114.0,ns,108
Engine,Rarity,demonstration.o,,,20858858.0,ns,114
Engine,Rarity,demonstration.o,,,21998500.0,ns,120
Engine,Rarity,demonstration.o,,,23118092.0,ns,126
Engine,Rarity,demonstration.o,,,24152883.0,ns,132
Engine,Rarity,demonstration.o,,,25305672.0,ns,138
Engine,Rarity,demonstration.o,,,26428955.0,ns,144
Engine,Rarity,demonstration.o,,,27494550.0,ns,150
Engine,Rarity,demonstration.o,,,28605047.0,ns,156
Engine,Rarity,demonstration.o,,,29638063.0,ns,162
Engine,Rarity,demonstration.o,,,30919572.0,ns,168
Engine,Rarity,demonstration.o,,,31851977.0,ns,174
Engine,Rarity,demonstration.o,,,32969415.0,ns,180
Engine,Rarity,demonstration.o,,,34203397.0,ns,186
Engine,Rarity,demonstration.o,,,35177437.0,ns,192
Engine,Rarity,demonstration.o,,,36271184.0,ns,198
Engine,Rarity,demonstration.o,,,37317745.0,ns,204
Engine,Rarity,demonstration.o,,,38532331.0,ns,210
Engine,Rarity,demonstration.o,,,39690328.0,ns,216
Engine,Rarity,demonstration.o,,,40736382.0,ns,222
Engine,Rarity,demonstration.o,,,41767686.0,ns,228
Engine,Rarity,demonstration.o,,,42879168.0,ns,234
Engine,Rarity,demonstration.o,,,44020584.0,ns,240
Engine,Rarity,demonstration.o,,,45082692.0,ns,246
Engine,Rarity,demonstration.o,,,46223095.0,ns,252
Engine,Rarity,demonstration.o,,,47318524.0,ns,258
Engine,Rarity,demonstration.o,,,48497052.0,ns,264
Engine,Rarity,demonstration.o,,,49600374.0,ns,270
Engine,Rarity,demonstration.o,,,50505392.0,ns,276
Engine,Rarity,demonstration.o,,,51886283.0,ns,282
Engine,Rarity,demonstration.o,,,52920242.0,ns,288
Engine,Rarity,demonstration.o,,,53758885.0,ns,294
Engine,Rarity,demonstration.o,,,54973762.0,ns,300
Engine,Rarity,demonstration.o,,,56147041.0,ns,306
Engine,Rarity,demonstration.o,,,57189641.0,ns,312
Engine,Rarity,demonstration.o,,,58143487.0,ns,318
Engine,Rarity,demonstration.o,,,59451741.0,ns,324
Engine,Rarity,demonstration.o,,,60385087.0,ns,330
Engine,Rarity,demonstration.o,,,61458493.0,ns,336
Engine,Rarity,demonstration.o,,,62884300.0,ns,342
Engine,Rarity,demonstration.o,,,63736255.0,ns,348
Engine,Rarity,demonstration.o,,,64931842.0,ns,354
Engine,Rarity,demonstration.o,,,65977248.0,ns,360
Engine,Rarity,demonstration.o,,,67141144.0,ns,366
Engine,Rarity,demonstration.o,,,68207625.0,ns,372
Engine,Rarity,demonstration.o,,,69173720.0,ns,378
Engine,Rarity,demonstration.o,,,70293838.0,ns,384
Engine,Rarity,demonstration.o,,,71567819.0,ns,390
Engine,Rarity,demonstration.o,,,72458816.0,ns,396
Engine,Rarity,demonstration.o,,,73778734.0,ns,402
Engine,Rarity,demonstration.o,,,74721613.0,ns,408
Engine,Rarity,demonstration.o,,,75858366.0,ns,414
Engine,Rarity,demonstration.o,,,76964607.0,ns,420
Engine,Rarity,demonstration.o,,,78042891.0,ns,426
Engine,Rarity,demonstration.o,,,79084736.0,ns,432
Engine,Rarity,demonstration.o,,,80240803.0,ns,438
Engine,Rarity,demonstration.o,,,81417453.0,ns,444
Engine,Rarity,demonstration.o,,,82533204.0,ns,450
