group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,count_up_down-1.c,,,102525976.0,ns,1
Path Exploration Strategies,Coin Flip,count_up_down-1.c,,,244931476.0,ns,2
Path Exploration Strategies,Coin Flip,count_up_down-1.c,,,308556167.0,ns,3
Path Exploration Strategies,Coin Flip,count_up_down-1.c,,,449608793.0,ns,4
Path Exploration Strategies,Coin Flip,count_up_down-1.c,,,573211713.0,ns,5
Path Exploration Strategies,Coin Flip,count_up_down-1.c,,,674952790.0,ns,6
Path Exploration Strategies,Coin Flip,count_up_down-1.c,,,798986742.0,ns,7
Path Exploration Strategies,Coin Flip,count_up_down-1.c,,,947879531.0,ns,8
Path Exploration Strategies,Coin Flip,count_up_down-1.c,,,1042673816.0,ns,9
Path Exploration Strategies,Coin Flip,count_up_down-1.c,,,1126000689.0,ns,10
