group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,multiple-read.c,,,94019948.0,ns,4
Path Exploration Strategies,Coin Flip,multiple-read.c,,,187941111.0,ns,8
Path Exploration Strategies,Coin Flip,multiple-read.c,,,281745087.0,ns,12
Path Exploration Strategies,Coin Flip,multiple-read.c,,,375697220.0,ns,16
Path Exploration Strategies,Coin Flip,multiple-read.c,,,469871946.0,ns,20
Path Exploration Strategies,Coin Flip,multiple-read.c,,,564016480.0,ns,24
Path Exploration Strategies,Coin Flip,multiple-read.c,,,657800559.0,ns,28
Path Exploration Strategies,Coin Flip,multiple-read.c,,,752338139.0,ns,32
Path Exploration Strategies,Coin Flip,multiple-read.c,,,845836802.0,ns,36
Path Exploration Strategies,Coin Flip,multiple-read.c,,,939460334.0,ns,40
