group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17060124770.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17050769235.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17058987774.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17043634670.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17065372851.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17064007276.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17044966145.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17060886875.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17095736834.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17073607068.0,ns,1
