group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Boolector,long-loop-fixed.o,,,53063372.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53068124.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53033470.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53005522.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53043036.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53137900.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53041225.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53036537.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53011969.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53081394.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53040086.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53051831.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53096445.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53050194.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53088587.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53038105.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53108844.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53071958.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53047525.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53052218.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53111358.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53095912.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53041165.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53085000.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53060097.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53052470.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53018790.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53079580.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53037500.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53048311.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53042340.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53070467.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53059368.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53074698.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53055351.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53091039.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53061372.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53045202.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53073055.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53055344.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53055377.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53054139.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53076099.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53045098.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53069061.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53027825.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53063782.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53027641.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53046374.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53034452.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53017458.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53027424.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53041847.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53041329.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53030070.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53019849.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53059893.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53036383.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53086985.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53026908.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53026736.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53050739.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53034084.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53011867.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52993512.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53081400.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53016169.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53066097.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53032611.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53036845.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53014139.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53028004.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53033283.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53061544.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53026381.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53077387.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53053753.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53060243.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53029451.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53046039.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53140304.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53031862.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53052887.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53040028.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53019223.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53060744.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53042183.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53029809.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53066987.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53039038.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53035480.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53025566.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53052761.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53013294.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53025377.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53009623.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53077575.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53055341.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53053549.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53027994.0,ns,9
