group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Monster,long-loop-fixed.o,,,1507063.0,ns,1
Engine,Monster,long-loop-fixed.o,,,2938449.0,ns,2
Engine,Monster,long-loop-fixed.o,,,5984926.0,ns,3
Engine,Monster,long-loop-fixed.o,,,7407253.0,ns,4
Engine,Monster,long-loop-fixed.o,,,8337602.0,ns,5
Engine,Monster,long-loop-fixed.o,,,11225792.0,ns,6
Engine,Monster,long-loop-fixed.o,,,13145064.0,ns,7
Engine,Monster,long-loop-fixed.o,,,15689361.0,ns,8
Engine,Monster,long-loop-fixed.o,,,15519031.0,ns,9
Engine,Monster,long-loop-fixed.o,,,19030899.0,ns,10
Engine,Monster,long-loop-fixed.o,,,19863408.0,ns,11
Engine,Monster,long-loop-fixed.o,,,22220952.0,ns,12
Engine,Monster,long-loop-fixed.o,,,22923010.0,ns,13
Engine,Monster,long-loop-fixed.o,,,22649951.0,ns,14
Engine,Monster,long-loop-fixed.o,,,24666693.0,ns,15
Engine,Monster,long-loop-fixed.o,,,26245864.0,ns,16
Engine,Monster,long-loop-fixed.o,,,29538617.0,ns,17
Engine,Monster,long-loop-fixed.o,,,33306732.0,ns,18
Engine,Monster,long-loop-fixed.o,,,30795171.0,ns,19
Engine,Monster,long-loop-fixed.o,,,36694043.0,ns,20
Engine,Monster,long-loop-fixed.o,,,36332189.0,ns,21
Engine,Monster,long-loop-fixed.o,,,36257012.0,ns,22
Engine,Monster,long-loop-fixed.o,,,42718434.0,ns,23
Engine,Monster,long-loop-fixed.o,,,42471498.0,ns,24
Engine,Monster,long-loop-fixed.o,,,44139785.0,ns,25
Engine,Monster,long-loop-fixed.o,,,48165791.0,ns,26
Engine,Monster,long-loop-fixed.o,,,46739374.0,ns,27
Engine,Monster,long-loop-fixed.o,,,52154522.0,ns,28
Engine,Monster,long-loop-fixed.o,,,48972973.0,ns,29
Engine,Monster,long-loop-fixed.o,,,55766736.0,ns,30
Engine,Monster,long-loop-fixed.o,,,59276197.0,ns,31
Engine,Monster,long-loop-fixed.o,,,61242567.0,ns,32
Engine,Monster,long-loop-fixed.o,,,55367021.0,ns,33
Engine,Monster,long-loop-fixed.o,,,62491321.0,ns,34
Engine,Monster,long-loop-fixed.o,,,60551300.0,ns,35
Engine,Monster,long-loop-fixed.o,,,59996270.0,ns,36
Engine,Monster,long-loop-fixed.o,,,64188351.0,ns,37
Engine,Monster,long-loop-fixed.o,,,71981909.0,ns,38
Engine,Monster,long-loop-fixed.o,,,66854825.0,ns,39
Engine,Monster,long-loop-fixed.o,,,77345447.0,ns,40
Engine,Monster,long-loop-fixed.o,,,68346261.0,ns,41
Engine,Monster,long-loop-fixed.o,,,71469099.0,ns,42
Engine,Monster,long-loop-fixed.o,,,73947670.0,ns,43
Engine,Monster,long-loop-fixed.o,,,75541129.0,ns,44
Engine,Monster,long-loop-fixed.o,,,73880749.0,ns,45
Engine,Monster,long-loop-fixed.o,,,83637270.0,ns,46
Engine,Monster,long-loop-fixed.o,,,77230650.0,ns,47
Engine,Monster,long-loop-fixed.o,,,82657621.0,ns,48
Engine,Monster,long-loop-fixed.o,,,90156231.0,ns,49
Engine,Monster,long-loop-fixed.o,,,88113486.0,ns,50
Engine,Monster,long-loop-fixed.o,,,95110410.0,ns,51
Engine,Monster,long-loop-fixed.o,,,92748124.0,ns,52
Engine,Monster,long-loop-fixed.o,,,91711776.0,ns,53
Engine,Monster,long-loop-fixed.o,,,103166320.0,ns,54
Engine,Monster,long-loop-fixed.o,,,93670095.0,ns,55
Engine,Monster,long-loop-fixed.o,,,100224191.0,ns,56
Engine,Monster,long-loop-fixed.o,,,102501802.0,ns,57
Engine,Monster,long-loop-fixed.o,,,102486577.0,ns,58
Engine,Monster,long-loop-fixed.o,,,101575060.0,ns,59
Engine,Monster,long-loop-fixed.o,,,105029085.0,ns,60
Engine,Monster,long-loop-fixed.o,,,108266342.0,ns,61
Engine,Monster,long-loop-fixed.o,,,109478842.0,ns,62
Engine,Monster,long-loop-fixed.o,,,116487448.0,ns,63
Engine,Monster,long-loop-fixed.o,,,110424368.0,ns,64
Engine,Monster,long-loop-fixed.o,,,117004007.0,ns,65
Engine,Monster,long-loop-fixed.o,,,114142076.0,ns,66
Engine,Monster,long-loop-fixed.o,,,126227363.0,ns,67
