group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,recursive-fibonacci-1-10.c,,,553630670.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-fibonacci-1-10.c,,,553152954.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-fibonacci-1-10.c,,,553110511.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-fibonacci-1-10.c,,,552848967.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-fibonacci-1-10.c,,,553234142.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-fibonacci-1-10.c,,,553007488.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-fibonacci-1-10.c,,,552954709.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-fibonacci-1-10.c,,,553125730.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-fibonacci-1-10.c,,,553196167.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-fibonacci-1-10.c,,,552672918.0,ns,1
