group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,119762282.0,ns,3
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,239247760.0,ns,6
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,358956933.0,ns,9
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,478799611.0,ns,12
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,598006731.0,ns,15
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,717534183.0,ns,18
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,837325645.0,ns,21
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,957250262.0,ns,24
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,1077021567.0,ns,27
Path Exploration Strategies,Shortest Path,simple_3-1.c,,,1196383207.0,ns,30
