group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,arithmetic.c,,,119973787.0,ns,3
Path Exploration Strategies,Coin Flip,arithmetic.c,,,239976107.0,ns,6
Path Exploration Strategies,Coin Flip,arithmetic.c,,,359764198.0,ns,9
Path Exploration Strategies,Coin Flip,arithmetic.c,,,480151192.0,ns,12
Path Exploration Strategies,Coin Flip,arithmetic.c,,,599764389.0,ns,15
Path Exploration Strategies,Coin Flip,arithmetic.c,,,719814488.0,ns,18
Path Exploration Strategies,Coin Flip,arithmetic.c,,,839586900.0,ns,21
Path Exploration Strategies,Coin Flip,arithmetic.c,,,959762617.0,ns,24
Path Exploration Strategies,Coin Flip,arithmetic.c,,,1080374688.0,ns,27
Path Exploration Strategies,Coin Flip,arithmetic.c,,,1200021716.0,ns,30
