group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,multiple-read.c,,,92668168.0,ns,4
Path Exploration Strategies,Coin Flip,multiple-read.c,,,185322086.0,ns,8
Path Exploration Strategies,Coin Flip,multiple-read.c,,,278129071.0,ns,12
Path Exploration Strategies,Coin Flip,multiple-read.c,,,370794433.0,ns,16
Path Exploration Strategies,Coin Flip,multiple-read.c,,,463568130.0,ns,20
Path Exploration Strategies,Coin Flip,multiple-read.c,,,556354254.0,ns,24
Path Exploration Strategies,Coin Flip,multiple-read.c,,,648588429.0,ns,28
Path Exploration Strategies,Coin Flip,multiple-read.c,,,741772237.0,ns,32
Path Exploration Strategies,Coin Flip,multiple-read.c,,,833932363.0,ns,36
Path Exploration Strategies,Coin Flip,multiple-read.c,,,927268221.0,ns,40
