group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,nested-recursion-1-35.c,,,48222379186.0,ns,1
Path Exploration Strategies,Coin Flip,nested-recursion-1-35.c,,,15263898657.0,ns,1
Path Exploration Strategies,Coin Flip,nested-recursion-1-35.c,,,14014138369.0,ns,1
Path Exploration Strategies,Coin Flip,nested-recursion-1-35.c,,,47479858686.0,ns,1
Path Exploration Strategies,Coin Flip,nested-recursion-1-35.c,,,23459948857.0,ns,1
Path Exploration Strategies,Coin Flip,nested-recursion-1-35.c,,,19824619486.0,ns,1
Path Exploration Strategies,Coin Flip,nested-recursion-1-35.c,,,49079786926.0,ns,1
Path Exploration Strategies,Coin Flip,nested-recursion-1-35.c,,,15197996060.0,ns,1
Path Exploration Strategies,Coin Flip,nested-recursion-1-35.c,,,51183489076.0,ns,1
Path Exploration Strategies,Coin Flip,nested-recursion-1-35.c,,,17441780151.0,ns,1
