group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,recursive-ackermann-1-35.c,,,109804612.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-ackermann-1-35.c,,,2421864613.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-ackermann-1-35.c,,,2421348947.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-ackermann-1-35.c,,,2420697177.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-ackermann-1-35.c,,,110181058.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-ackermann-1-35.c,,,2423660464.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-ackermann-1-35.c,,,2403197950.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-ackermann-1-35.c,,,2442169256.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-ackermann-1-35.c,,,2421552636.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-ackermann-1-35.c,,,2423574225.0,ns,1
