group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,recursive-factorial-1-35.c,,,10327801885.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-factorial-1-35.c,,,105567482116.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-factorial-1-35.c,,,13184052580.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-factorial-1-35.c,,,7541677343.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-factorial-1-35.c,,,106973117668.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-factorial-1-35.c,,,10741860976.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-factorial-1-35.c,,,14033553378.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-factorial-1-35.c,,,10505031477.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-factorial-1-35.c,,,11921587561.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-factorial-1-35.c,,,9614463671.0,ns,1
