group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,sum01-1.c,,,463504708.0,ns,1
Path Exploration Strategies,Coin Flip,sum01-1.c,,,527099252.0,ns,1
Path Exploration Strategies,Coin Flip,sum01-1.c,,,533737650.0,ns,1
Path Exploration Strategies,Coin Flip,sum01-1.c,,,754828889.0,ns,1
Path Exploration Strategies,Coin Flip,sum01-1.c,,,459774114.0,ns,1
Path Exploration Strategies,Coin Flip,sum01-1.c,,,696773094.0,ns,1
Path Exploration Strategies,Coin Flip,sum01-1.c,,,594532519.0,ns,1
Path Exploration Strategies,Coin Flip,sum01-1.c,,,534756183.0,ns,1
Path Exploration Strategies,Coin Flip,sum01-1.c,,,518336562.0,ns,1
Path Exploration Strategies,Coin Flip,sum01-1.c,,,599895363.0,ns,1
