group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Rarity,demonstration.o,,,,4078467.0,ns,20
Rarity,demonstration.o,,,,8163443.0,ns,40
Rarity,demonstration.o,,,,12301174.0,ns,60
Rarity,demonstration.o,,,,16316364.0,ns,80
Rarity,demonstration.o,,,,20416669.0,ns,100
Rarity,demonstration.o,,,,24471454.0,ns,120
Rarity,demonstration.o,,,,28567283.0,ns,140
Rarity,demonstration.o,,,,32618608.0,ns,160
Rarity,demonstration.o,,,,36718980.0,ns,180
Rarity,demonstration.o,,,,40780615.0,ns,200
Rarity,demonstration.o,,,,44871332.0,ns,220
Rarity,demonstration.o,,,,48934482.0,ns,240
Rarity,demonstration.o,,,,52997875.0,ns,260
Rarity,demonstration.o,,,,57117051.0,ns,280
Rarity,demonstration.o,,,,61208287.0,ns,300
Rarity,demonstration.o,,,,65264534.0,ns,320
Rarity,demonstration.o,,,,69332954.0,ns,340
Rarity,demonstration.o,,,,73436572.0,ns,360
Rarity,demonstration.o,,,,77510097.0,ns,380
Rarity,demonstration.o,,,,81594078.0,ns,400
Rarity,demonstration.o,,,,85681646.0,ns,420
Rarity,demonstration.o,,,,89826404.0,ns,440
Rarity,demonstration.o,,,,93859547.0,ns,460
Rarity,demonstration.o,,,,97911376.0,ns,480
Rarity,demonstration.o,,,,102056553.0,ns,500
Rarity,demonstration.o,,,,106060074.0,ns,520
Rarity,demonstration.o,,,,110171722.0,ns,540
Rarity,demonstration.o,,,,114155133.0,ns,560
Rarity,demonstration.o,,,,118285769.0,ns,580
Rarity,demonstration.o,,,,122343756.0,ns,600
Rarity,demonstration.o,,,,126419828.0,ns,620
Rarity,demonstration.o,,,,130586584.0,ns,640
Rarity,demonstration.o,,,,134595174.0,ns,660
Rarity,demonstration.o,,,,138639259.0,ns,680
Rarity,demonstration.o,,,,142782169.0,ns,700
Rarity,demonstration.o,,,,146889990.0,ns,720
Rarity,demonstration.o,,,,150950629.0,ns,740
Rarity,demonstration.o,,,,154986803.0,ns,760
Rarity,demonstration.o,,,,159092689.0,ns,780
Rarity,demonstration.o,,,,163075668.0,ns,800
Rarity,demonstration.o,,,,167138022.0,ns,820
Rarity,demonstration.o,,,,171215419.0,ns,840
Rarity,demonstration.o,,,,175276938.0,ns,860
Rarity,demonstration.o,,,,179372779.0,ns,880
Rarity,demonstration.o,,,,183450654.0,ns,900
Rarity,demonstration.o,,,,187564765.0,ns,920
Rarity,demonstration.o,,,,191689909.0,ns,940
Rarity,demonstration.o,,,,195775897.0,ns,960
Rarity,demonstration.o,,,,199793622.0,ns,980
Rarity,demonstration.o,,,,203954740.0,ns,1000
