group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Boolector,long-loop-fixed.o,,,53064807.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53037115.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53012622.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53021174.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53032269.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53040608.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53035590.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53048061.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53031956.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53008702.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53026537.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53022696.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53022515.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53035323.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53006495.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52997951.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53043904.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53015493.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52995037.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53010491.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53039683.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53036277.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53020221.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53065313.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52999714.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53019778.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53040568.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53022816.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53047898.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53056614.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53007088.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53039315.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53012283.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53032457.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53011934.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53004758.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53044299.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53016993.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53020866.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53055332.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53001189.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53033781.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53012804.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53034138.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52993990.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53016497.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53033332.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53128457.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53052616.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53012380.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53014208.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53029899.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52987800.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53023600.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52991810.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53010395.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52997318.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52986496.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53026871.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53020798.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52961814.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53015772.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53006200.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53016584.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53021193.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52998338.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53002318.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53059609.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53051766.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53034190.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53032203.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53050380.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53020444.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53040825.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53058051.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53077902.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53038100.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53073981.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53047435.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53048927.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53039237.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53001972.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53041883.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53029388.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52978429.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53042603.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53059644.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53067116.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53011786.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52999329.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53061268.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53023010.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53072464.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53061003.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53099512.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53004506.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53059408.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53027711.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53033905.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53078704.0,ns,9
