group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Rarity,demonstration.o,,,1109152.0,ns,6
Engine,Rarity,demonstration.o,,,2163448.0,ns,12
Engine,Rarity,demonstration.o,,,3261112.0,ns,18
Engine,Rarity,demonstration.o,,,4374146.0,ns,24
Engine,Rarity,demonstration.o,,,5459765.0,ns,30
Engine,Rarity,demonstration.o,,,6556679.0,ns,36
Engine,Rarity,demonstration.o,,,7620653.0,ns,42
Engine,Rarity,demonstration.o,,,8661816.0,ns,48
Engine,Rarity,demonstration.o,,,9853307.0,ns,54
Engine,Rarity,demonstration.o,,,10984609.0,ns,60
Engine,Rarity,demonstration.o,,,11946833.0,ns,66
Engine,Rarity,demonstration.o,,,13141479.0,ns,72
Engine,Rarity,demonstration.o,,,14263801.0,ns,78
Engine,Rarity,demonstration.o,,,15208935.0,ns,84
Engine,Rarity,demonstration.o,,,16320829.0,ns,90
Engine,Rarity,demonstration.o,,,17507431.0,ns,96
Engine,Rarity,demonstration.o,,,18570766.0,ns,102
Engine,Rarity,demonstration.o,,,19553151.0,ns,108
Engine,Rarity,demonstration.o,,,20777298.0,ns,114
Engine,Rarity,demonstration.o,,,21857090.0,ns,120
Engine,Rarity,demonstration.o,,,23001130.0,ns,126
Engine,Rarity,demonstration.o,,,23861306.0,ns,132
Engine,Rarity,demonstration.o,,,24996338.0,ns,138
Engine,Rarity,demonstration.o,,,26138545.0,ns,144
Engine,Rarity,demonstration.o,,,27269828.0,ns,150
Engine,Rarity,demonstration.o,,,28382362.0,ns,156
Engine,Rarity,demonstration.o,,,29487978.0,ns,162
Engine,Rarity,demonstration.o,,,30516608.0,ns,168
Engine,Rarity,demonstration.o,,,31662702.0,ns,174
Engine,Rarity,demonstration.o,,,32793383.0,ns,180
Engine,Rarity,demonstration.o,,,33986796.0,ns,186
Engine,Rarity,demonstration.o,,,35126319.0,ns,192
Engine,Rarity,demonstration.o,,,35892390.0,ns,198
Engine,Rarity,demonstration.o,,,37149317.0,ns,204
Engine,Rarity,demonstration.o,,,38289034.0,ns,210
Engine,Rarity,demonstration.o,,,39274170.0,ns,216
Engine,Rarity,demonstration.o,,,40316101.0,ns,222
Engine,Rarity,demonstration.o,,,41436773.0,ns,228
Engine,Rarity,demonstration.o,,,42597776.0,ns,234
Engine,Rarity,demonstration.o,,,43644298.0,ns,240
Engine,Rarity,demonstration.o,,,44886769.0,ns,246
Engine,Rarity,demonstration.o,,,45855738.0,ns,252
Engine,Rarity,demonstration.o,,,46905861.0,ns,258
Engine,Rarity,demonstration.o,,,48110826.0,ns,264
Engine,Rarity,demonstration.o,,,49151876.0,ns,270
Engine,Rarity,demonstration.o,,,50284091.0,ns,276
Engine,Rarity,demonstration.o,,,51404153.0,ns,282
Engine,Rarity,demonstration.o,,,52525852.0,ns,288
Engine,Rarity,demonstration.o,,,53479732.0,ns,294
Engine,Rarity,demonstration.o,,,54665998.0,ns,300
Engine,Rarity,demonstration.o,,,55727037.0,ns,306
Engine,Rarity,demonstration.o,,,56841676.0,ns,312
Engine,Rarity,demonstration.o,,,58016454.0,ns,318
Engine,Rarity,demonstration.o,,,59251531.0,ns,324
Engine,Rarity,demonstration.o,,,60285862.0,ns,330
Engine,Rarity,demonstration.o,,,61265826.0,ns,336
Engine,Rarity,demonstration.o,,,62177926.0,ns,342
Engine,Rarity,demonstration.o,,,63429479.0,ns,348
Engine,Rarity,demonstration.o,,,64262319.0,ns,354
Engine,Rarity,demonstration.o,,,65515832.0,ns,360
Engine,Rarity,demonstration.o,,,66616602.0,ns,366
Engine,Rarity,demonstration.o,,,67719091.0,ns,372
Engine,Rarity,demonstration.o,,,68735024.0,ns,378
Engine,Rarity,demonstration.o,,,69957725.0,ns,384
Engine,Rarity,demonstration.o,,,70956539.0,ns,390
Engine,Rarity,demonstration.o,,,72007028.0,ns,396
Engine,Rarity,demonstration.o,,,73025470.0,ns,402
Engine,Rarity,demonstration.o,,,74194100.0,ns,408
Engine,Rarity,demonstration.o,,,75252778.0,ns,414
Engine,Rarity,demonstration.o,,,76380525.0,ns,420
Engine,Rarity,demonstration.o,,,77447870.0,ns,426
Engine,Rarity,demonstration.o,,,78685678.0,ns,432
Engine,Rarity,demonstration.o,,,79690177.0,ns,438
Engine,Rarity,demonstration.o,,,80772194.0,ns,444
Engine,Rarity,demonstration.o,,,81884376.0,ns,450
Engine,Rarity,demonstration.o,,,82742794.0,ns,456
Engine,Rarity,demonstration.o,,,84246158.0,ns,462
Engine,Rarity,demonstration.o,,,85047676.0,ns,468
