group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Rarity,select-rare.o,,,1685539.0,ns,1
Engine,Rarity,select-rare.o,,,3356139.0,ns,2
Engine,Rarity,select-rare.o,,,5048516.0,ns,3
Engine,Rarity,select-rare.o,,,6736324.0,ns,4
Engine,Rarity,select-rare.o,,,8444232.0,ns,5
Engine,Rarity,select-rare.o,,,10078090.0,ns,6
Engine,Rarity,select-rare.o,,,11762765.0,ns,7
Engine,Rarity,select-rare.o,,,13460712.0,ns,8
Engine,Rarity,select-rare.o,,,15117717.0,ns,9
Engine,Rarity,select-rare.o,,,16841496.0,ns,10
Engine,Rarity,select-rare.o,,,18493558.0,ns,11
Engine,Rarity,select-rare.o,,,20233184.0,ns,12
Engine,Rarity,select-rare.o,,,21851356.0,ns,13
Engine,Rarity,select-rare.o,,,23563054.0,ns,14
Engine,Rarity,select-rare.o,,,25215787.0,ns,15
Engine,Rarity,select-rare.o,,,26903424.0,ns,16
Engine,Rarity,select-rare.o,,,28507003.0,ns,17
Engine,Rarity,select-rare.o,,,30300515.0,ns,18
Engine,Rarity,select-rare.o,,,31852044.0,ns,19
Engine,Rarity,select-rare.o,,,33715346.0,ns,20
Engine,Rarity,select-rare.o,,,35213273.0,ns,21
Engine,Rarity,select-rare.o,,,36989845.0,ns,22
Engine,Rarity,select-rare.o,,,38620716.0,ns,23
Engine,Rarity,select-rare.o,,,40289543.0,ns,24
Engine,Rarity,select-rare.o,,,42079070.0,ns,25
Engine,Rarity,select-rare.o,,,43645113.0,ns,26
Engine,Rarity,select-rare.o,,,45383687.0,ns,27
Engine,Rarity,select-rare.o,,,47119638.0,ns,28
Engine,Rarity,select-rare.o,,,48707912.0,ns,29
Engine,Rarity,select-rare.o,,,50363910.0,ns,30
Engine,Rarity,select-rare.o,,,52079925.0,ns,31
Engine,Rarity,select-rare.o,,,53740528.0,ns,32
Engine,Rarity,select-rare.o,,,55447818.0,ns,33
Engine,Rarity,select-rare.o,,,57111984.0,ns,34
Engine,Rarity,select-rare.o,,,58764799.0,ns,35
Engine,Rarity,select-rare.o,,,60523544.0,ns,36
Engine,Rarity,select-rare.o,,,62042944.0,ns,37
Engine,Rarity,select-rare.o,,,63807721.0,ns,38
Engine,Rarity,select-rare.o,,,65513222.0,ns,39
Engine,Rarity,select-rare.o,,,67109713.0,ns,40
Engine,Rarity,select-rare.o,,,68845271.0,ns,41
Engine,Rarity,select-rare.o,,,70577144.0,ns,42
Engine,Rarity,select-rare.o,,,72310471.0,ns,43
Engine,Rarity,select-rare.o,,,73912871.0,ns,44
Engine,Rarity,select-rare.o,,,75552736.0,ns,45
Engine,Rarity,select-rare.o,,,77256769.0,ns,46
Engine,Rarity,select-rare.o,,,78912654.0,ns,47
Engine,Rarity,select-rare.o,,,80608188.0,ns,48
Engine,Rarity,select-rare.o,,,82287634.0,ns,49
Engine,Rarity,select-rare.o,,,84062222.0,ns,50
Engine,Rarity,select-rare.o,,,85686079.0,ns,51
Engine,Rarity,select-rare.o,,,87430727.0,ns,52
Engine,Rarity,select-rare.o,,,89069936.0,ns,53
Engine,Rarity,select-rare.o,,,90585199.0,ns,54
Engine,Rarity,select-rare.o,,,92515765.0,ns,55
Engine,Rarity,select-rare.o,,,94091590.0,ns,56
Engine,Rarity,select-rare.o,,,95910453.0,ns,57
Engine,Rarity,select-rare.o,,,97392370.0,ns,58
Engine,Rarity,select-rare.o,,,99236424.0,ns,59
Engine,Rarity,select-rare.o,,,100856916.0,ns,60
Engine,Rarity,select-rare.o,,,102581633.0,ns,61
Engine,Rarity,select-rare.o,,,104097304.0,ns,62
Engine,Rarity,select-rare.o,,,105957525.0,ns,63
Engine,Rarity,select-rare.o,,,107550197.0,ns,64
Engine,Rarity,select-rare.o,,,109273426.0,ns,65
Engine,Rarity,select-rare.o,,,110959373.0,ns,66
Engine,Rarity,select-rare.o,,,112502003.0,ns,67
Engine,Rarity,select-rare.o,,,114277735.0,ns,68
Engine,Rarity,select-rare.o,,,115925318.0,ns,69
Engine,Rarity,select-rare.o,,,117560707.0,ns,70
Engine,Rarity,select-rare.o,,,119169684.0,ns,71
Engine,Rarity,select-rare.o,,,121018367.0,ns,72
Engine,Rarity,select-rare.o,,,122661947.0,ns,73
Engine,Rarity,select-rare.o,,,124480691.0,ns,74
Engine,Rarity,select-rare.o,,,126033988.0,ns,75
Engine,Rarity,select-rare.o,,,127705014.0,ns,76
Engine,Rarity,select-rare.o,,,129481926.0,ns,77
Engine,Rarity,select-rare.o,,,131285864.0,ns,78
Engine,Rarity,select-rare.o,,,132828053.0,ns,79
Engine,Rarity,select-rare.o,,,134357162.0,ns,80
Engine,Rarity,select-rare.o,,,136046635.0,ns,81
Engine,Rarity,select-rare.o,,,137761776.0,ns,82
Engine,Rarity,select-rare.o,,,139430129.0,ns,83
Engine,Rarity,select-rare.o,,,141132991.0,ns,84
Engine,Rarity,select-rare.o,,,142771850.0,ns,85
Engine,Rarity,select-rare.o,,,144451218.0,ns,86
Engine,Rarity,select-rare.o,,,146179227.0,ns,87
Engine,Rarity,select-rare.o,,,147738766.0,ns,88
Engine,Rarity,select-rare.o,,,149672573.0,ns,89
Engine,Rarity,select-rare.o,,,151213347.0,ns,90
Engine,Rarity,select-rare.o,,,152770119.0,ns,91
Engine,Rarity,select-rare.o,,,154556183.0,ns,92
Engine,Rarity,select-rare.o,,,156113364.0,ns,93
Engine,Rarity,select-rare.o,,,157974673.0,ns,94
Engine,Rarity,select-rare.o,,,159795270.0,ns,95
Engine,Rarity,select-rare.o,,,161221446.0,ns,96
Engine,Rarity,select-rare.o,,,163114980.0,ns,97
Engine,Rarity,select-rare.o,,,164747218.0,ns,98
