group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Z3,demonstration.o,,,82151050.0,ns,2
Engine,Z3,demonstration.o,,,82187515.0,ns,2
Engine,Z3,demonstration.o,,,82082270.0,ns,2
Engine,Z3,demonstration.o,,,82151178.0,ns,2
Engine,Z3,demonstration.o,,,82143331.0,ns,2
Engine,Z3,demonstration.o,,,82213015.0,ns,2
Engine,Z3,demonstration.o,,,82136605.0,ns,2
Engine,Z3,demonstration.o,,,82245228.0,ns,2
Engine,Z3,demonstration.o,,,82215365.0,ns,2
Engine,Z3,demonstration.o,,,82153841.0,ns,2
Engine,Z3,demonstration.o,,,82163858.0,ns,2
Engine,Z3,demonstration.o,,,82193465.0,ns,2
Engine,Z3,demonstration.o,,,82192050.0,ns,2
Engine,Z3,demonstration.o,,,82238887.0,ns,2
Engine,Z3,demonstration.o,,,82252788.0,ns,2
Engine,Z3,demonstration.o,,,82253666.0,ns,2
Engine,Z3,demonstration.o,,,82280810.0,ns,2
Engine,Z3,demonstration.o,,,82157302.0,ns,2
Engine,Z3,demonstration.o,,,82240898.0,ns,2
Engine,Z3,demonstration.o,,,82203928.0,ns,2
Engine,Z3,demonstration.o,,,82124572.0,ns,2
Engine,Z3,demonstration.o,,,82178355.0,ns,2
Engine,Z3,demonstration.o,,,82161250.0,ns,2
Engine,Z3,demonstration.o,,,82074170.0,ns,2
Engine,Z3,demonstration.o,,,82160994.0,ns,2
Engine,Z3,demonstration.o,,,82112200.0,ns,2
Engine,Z3,demonstration.o,,,82136616.0,ns,2
Engine,Z3,demonstration.o,,,82146805.0,ns,2
Engine,Z3,demonstration.o,,,82011676.0,ns,2
Engine,Z3,demonstration.o,,,82241483.0,ns,2
Engine,Z3,demonstration.o,,,82128963.0,ns,2
Engine,Z3,demonstration.o,,,82255274.0,ns,2
Engine,Z3,demonstration.o,,,82210260.0,ns,2
Engine,Z3,demonstration.o,,,82331579.0,ns,2
Engine,Z3,demonstration.o,,,82223721.0,ns,2
Engine,Z3,demonstration.o,,,82212539.0,ns,2
Engine,Z3,demonstration.o,,,82036869.0,ns,2
Engine,Z3,demonstration.o,,,82158567.0,ns,2
Engine,Z3,demonstration.o,,,82113087.0,ns,2
Engine,Z3,demonstration.o,,,81992469.0,ns,2
Engine,Z3,demonstration.o,,,82123488.0,ns,2
Engine,Z3,demonstration.o,,,82186895.0,ns,2
Engine,Z3,demonstration.o,,,82184482.0,ns,2
Engine,Z3,demonstration.o,,,82094415.0,ns,2
Engine,Z3,demonstration.o,,,82179308.0,ns,2
Engine,Z3,demonstration.o,,,82168366.0,ns,2
Engine,Z3,demonstration.o,,,82190761.0,ns,2
Engine,Z3,demonstration.o,,,82080677.0,ns,2
Engine,Z3,demonstration.o,,,82176483.0,ns,2
Engine,Z3,demonstration.o,,,82232860.0,ns,2
Engine,Z3,demonstration.o,,,82137803.0,ns,2
Engine,Z3,demonstration.o,,,82119332.0,ns,2
Engine,Z3,demonstration.o,,,82213941.0,ns,2
Engine,Z3,demonstration.o,,,82180752.0,ns,2
Engine,Z3,demonstration.o,,,82100926.0,ns,2
Engine,Z3,demonstration.o,,,82185301.0,ns,2
Engine,Z3,demonstration.o,,,82088224.0,ns,2
Engine,Z3,demonstration.o,,,82157116.0,ns,2
Engine,Z3,demonstration.o,,,82090114.0,ns,2
Engine,Z3,demonstration.o,,,82219196.0,ns,2
Engine,Z3,demonstration.o,,,82236518.0,ns,2
Engine,Z3,demonstration.o,,,82166224.0,ns,2
Engine,Z3,demonstration.o,,,82366694.0,ns,2
Engine,Z3,demonstration.o,,,82230119.0,ns,2
Engine,Z3,demonstration.o,,,82170211.0,ns,2
Engine,Z3,demonstration.o,,,82159579.0,ns,2
Engine,Z3,demonstration.o,,,82221761.0,ns,2
Engine,Z3,demonstration.o,,,82152919.0,ns,2
Engine,Z3,demonstration.o,,,82133370.0,ns,2
Engine,Z3,demonstration.o,,,82231655.0,ns,2
Engine,Z3,demonstration.o,,,82122530.0,ns,2
