group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17024551905.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17045024430.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17021112024.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17048345529.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17018409064.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17034922533.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17063665939.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17001972156.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17015785524.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17005703192.0,ns,1
