group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Boolector,demonstration.o,,,51481465.0,ns,21
Engine,Boolector,demonstration.o,,,51487621.0,ns,21
Engine,Boolector,demonstration.o,,,51492464.0,ns,21
Engine,Boolector,demonstration.o,,,51471529.0,ns,21
Engine,Boolector,demonstration.o,,,51482873.0,ns,21
Engine,Boolector,demonstration.o,,,51492884.0,ns,21
Engine,Boolector,demonstration.o,,,51489003.0,ns,21
Engine,Boolector,demonstration.o,,,51477211.0,ns,21
Engine,Boolector,demonstration.o,,,51483274.0,ns,21
Engine,Boolector,demonstration.o,,,51507441.0,ns,21
Engine,Boolector,demonstration.o,,,51546325.0,ns,21
Engine,Boolector,demonstration.o,,,51572551.0,ns,21
Engine,Boolector,demonstration.o,,,51495012.0,ns,21
Engine,Boolector,demonstration.o,,,51455882.0,ns,21
Engine,Boolector,demonstration.o,,,51484885.0,ns,21
Engine,Boolector,demonstration.o,,,51461342.0,ns,21
Engine,Boolector,demonstration.o,,,51442525.0,ns,21
Engine,Boolector,demonstration.o,,,51469298.0,ns,21
Engine,Boolector,demonstration.o,,,51482326.0,ns,21
Engine,Boolector,demonstration.o,,,51461641.0,ns,21
Engine,Boolector,demonstration.o,,,51449341.0,ns,21
Engine,Boolector,demonstration.o,,,51472866.0,ns,21
Engine,Boolector,demonstration.o,,,51488983.0,ns,21
Engine,Boolector,demonstration.o,,,51495244.0,ns,21
Engine,Boolector,demonstration.o,,,51481997.0,ns,21
Engine,Boolector,demonstration.o,,,51518814.0,ns,21
Engine,Boolector,demonstration.o,,,51496674.0,ns,21
Engine,Boolector,demonstration.o,,,51480439.0,ns,21
Engine,Boolector,demonstration.o,,,51484551.0,ns,21
Engine,Boolector,demonstration.o,,,51461029.0,ns,21
Engine,Boolector,demonstration.o,,,51481566.0,ns,21
Engine,Boolector,demonstration.o,,,51432129.0,ns,21
Engine,Boolector,demonstration.o,,,51434387.0,ns,21
Engine,Boolector,demonstration.o,,,51501051.0,ns,21
Engine,Boolector,demonstration.o,,,51444728.0,ns,21
Engine,Boolector,demonstration.o,,,51416377.0,ns,21
Engine,Boolector,demonstration.o,,,51421841.0,ns,21
Engine,Boolector,demonstration.o,,,51471024.0,ns,21
Engine,Boolector,demonstration.o,,,51458985.0,ns,21
Engine,Boolector,demonstration.o,,,51430412.0,ns,21
Engine,Boolector,demonstration.o,,,51438327.0,ns,21
Engine,Boolector,demonstration.o,,,51498260.0,ns,21
Engine,Boolector,demonstration.o,,,51430600.0,ns,21
Engine,Boolector,demonstration.o,,,51424377.0,ns,21
Engine,Boolector,demonstration.o,,,51444961.0,ns,21
Engine,Boolector,demonstration.o,,,51453944.0,ns,21
Engine,Boolector,demonstration.o,,,51446930.0,ns,21
Engine,Boolector,demonstration.o,,,51458387.0,ns,21
Engine,Boolector,demonstration.o,,,51485025.0,ns,21
Engine,Boolector,demonstration.o,,,51501686.0,ns,21
Engine,Boolector,demonstration.o,,,51461031.0,ns,21
Engine,Boolector,demonstration.o,,,51438675.0,ns,21
Engine,Boolector,demonstration.o,,,51444033.0,ns,21
Engine,Boolector,demonstration.o,,,51469515.0,ns,21
Engine,Boolector,demonstration.o,,,51505728.0,ns,21
Engine,Boolector,demonstration.o,,,51424572.0,ns,21
Engine,Boolector,demonstration.o,,,51451768.0,ns,21
Engine,Boolector,demonstration.o,,,51455436.0,ns,21
Engine,Boolector,demonstration.o,,,51454728.0,ns,21
Engine,Boolector,demonstration.o,,,51449484.0,ns,21
Engine,Boolector,demonstration.o,,,51461903.0,ns,21
Engine,Boolector,demonstration.o,,,51469386.0,ns,21
Engine,Boolector,demonstration.o,,,51445986.0,ns,21
Engine,Boolector,demonstration.o,,,51418814.0,ns,21
