group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Boolector,long-loop-fixed.o,,,53031889.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53009185.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53004136.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53010952.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53017591.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53019756.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53053145.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53059578.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53061312.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53047561.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53061242.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53019890.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53056905.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53040269.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53024564.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53016939.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53034784.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53042342.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53028741.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53010012.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53021995.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53035628.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53056618.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53061382.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53041713.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53076622.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53036596.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53047132.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53039026.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53078138.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53039014.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53047363.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53008939.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53058849.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53044370.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53029139.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53046250.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53042297.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53020548.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53024015.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53040360.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53032738.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53018090.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53030441.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53059179.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53045209.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53050048.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53032368.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53164224.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53052005.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53028048.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53048355.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53026713.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53049062.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53032622.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53050256.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53028330.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53045205.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53032068.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53029325.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53068684.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53053596.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53000456.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53017567.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53048297.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53032480.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53022164.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53058194.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53059684.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53056832.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53021456.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53046561.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53049873.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53046666.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53035513.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53053149.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53044869.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53031190.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53045934.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53037105.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53025775.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53000944.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53033973.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53045020.0,ns,9
