group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Monster,select-rare.o,,,1173720.0,ns,1
Engine,Monster,select-rare.o,,,2295521.0,ns,2
Engine,Monster,select-rare.o,,,3465597.0,ns,3
Engine,Monster,select-rare.o,,,4752538.0,ns,4
Engine,Monster,select-rare.o,,,5910768.0,ns,5
Engine,Monster,select-rare.o,,,7076453.0,ns,6
Engine,Monster,select-rare.o,,,8254296.0,ns,7
Engine,Monster,select-rare.o,,,9461405.0,ns,8
Engine,Monster,select-rare.o,,,10722917.0,ns,9
Engine,Monster,select-rare.o,,,11813011.0,ns,10
Engine,Monster,select-rare.o,,,12951482.0,ns,11
Engine,Monster,select-rare.o,,,14068014.0,ns,12
Engine,Monster,select-rare.o,,,15064300.0,ns,13
Engine,Monster,select-rare.o,,,16334257.0,ns,14
Engine,Monster,select-rare.o,,,17646575.0,ns,15
Engine,Monster,select-rare.o,,,18633944.0,ns,16
Engine,Monster,select-rare.o,,,19921483.0,ns,17
Engine,Monster,select-rare.o,,,21024320.0,ns,18
Engine,Monster,select-rare.o,,,22200989.0,ns,19
Engine,Monster,select-rare.o,,,23475237.0,ns,20
Engine,Monster,select-rare.o,,,24662860.0,ns,21
Engine,Monster,select-rare.o,,,25769391.0,ns,22
Engine,Monster,select-rare.o,,,26755156.0,ns,23
Engine,Monster,select-rare.o,,,28194609.0,ns,24
Engine,Monster,select-rare.o,,,29351738.0,ns,25
Engine,Monster,select-rare.o,,,30568564.0,ns,26
Engine,Monster,select-rare.o,,,31786339.0,ns,27
Engine,Monster,select-rare.o,,,32989449.0,ns,28
Engine,Monster,select-rare.o,,,33922850.0,ns,29
Engine,Monster,select-rare.o,,,35470706.0,ns,30
Engine,Monster,select-rare.o,,,36458560.0,ns,31
Engine,Monster,select-rare.o,,,37367178.0,ns,32
Engine,Monster,select-rare.o,,,38588279.0,ns,33
Engine,Monster,select-rare.o,,,40044104.0,ns,34
Engine,Monster,select-rare.o,,,41025861.0,ns,35
Engine,Monster,select-rare.o,,,42229186.0,ns,36
Engine,Monster,select-rare.o,,,43597753.0,ns,37
Engine,Monster,select-rare.o,,,44487084.0,ns,38
Engine,Monster,select-rare.o,,,45832156.0,ns,39
Engine,Monster,select-rare.o,,,47052337.0,ns,40
Engine,Monster,select-rare.o,,,48197626.0,ns,41
Engine,Monster,select-rare.o,,,49235729.0,ns,42
Engine,Monster,select-rare.o,,,50805149.0,ns,43
Engine,Monster,select-rare.o,,,51611264.0,ns,44
Engine,Monster,select-rare.o,,,52843893.0,ns,45
Engine,Monster,select-rare.o,,,53757308.0,ns,46
Engine,Monster,select-rare.o,,,55160858.0,ns,47
Engine,Monster,select-rare.o,,,56495875.0,ns,48
Engine,Monster,select-rare.o,,,57610026.0,ns,49
Engine,Monster,select-rare.o,,,59105036.0,ns,50
Engine,Monster,select-rare.o,,,59978017.0,ns,51
Engine,Monster,select-rare.o,,,60984554.0,ns,52
Engine,Monster,select-rare.o,,,62139848.0,ns,53
Engine,Monster,select-rare.o,,,63542318.0,ns,54
Engine,Monster,select-rare.o,,,64669122.0,ns,55
Engine,Monster,select-rare.o,,,65770506.0,ns,56
Engine,Monster,select-rare.o,,,66738311.0,ns,57
Engine,Monster,select-rare.o,,,68149438.0,ns,58
Engine,Monster,select-rare.o,,,69504231.0,ns,59
Engine,Monster,select-rare.o,,,70531254.0,ns,60
Engine,Monster,select-rare.o,,,71266929.0,ns,61
Engine,Monster,select-rare.o,,,72614965.0,ns,62
Engine,Monster,select-rare.o,,,74198740.0,ns,63
Engine,Monster,select-rare.o,,,75498290.0,ns,64
Engine,Monster,select-rare.o,,,76145377.0,ns,65
Engine,Monster,select-rare.o,,,77396356.0,ns,66
Engine,Monster,select-rare.o,,,78602681.0,ns,67
Engine,Monster,select-rare.o,,,79820947.0,ns,68
Engine,Monster,select-rare.o,,,80912052.0,ns,69
Engine,Monster,select-rare.o,,,82335710.0,ns,70
Engine,Monster,select-rare.o,,,83261837.0,ns,71
Engine,Monster,select-rare.o,,,84661430.0,ns,72
Engine,Monster,select-rare.o,,,85846512.0,ns,73
Engine,Monster,select-rare.o,,,86775178.0,ns,74
Engine,Monster,select-rare.o,,,87739370.0,ns,75
Engine,Monster,select-rare.o,,,88825252.0,ns,76
Engine,Monster,select-rare.o,,,90302375.0,ns,77
Engine,Monster,select-rare.o,,,91516588.0,ns,78
Engine,Monster,select-rare.o,,,92292367.0,ns,79
Engine,Monster,select-rare.o,,,94204659.0,ns,80
Engine,Monster,select-rare.o,,,94868708.0,ns,81
Engine,Monster,select-rare.o,,,95801541.0,ns,82
Engine,Monster,select-rare.o,,,96664272.0,ns,83
Engine,Monster,select-rare.o,,,98449000.0,ns,84
Engine,Monster,select-rare.o,,,99431739.0,ns,85
Engine,Monster,select-rare.o,,,100833339.0,ns,86
Engine,Monster,select-rare.o,,,102021239.0,ns,87
Engine,Monster,select-rare.o,,,103720036.0,ns,88
Engine,Monster,select-rare.o,,,104817906.0,ns,89
Engine,Monster,select-rare.o,,,105885443.0,ns,90
Engine,Monster,select-rare.o,,,106908470.0,ns,91
Engine,Monster,select-rare.o,,,108157310.0,ns,92
Engine,Monster,select-rare.o,,,109203859.0,ns,93
Engine,Monster,select-rare.o,,,111096967.0,ns,94
Engine,Monster,select-rare.o,,,111270062.0,ns,95
Engine,Monster,select-rare.o,,,111799158.0,ns,96
Engine,Monster,select-rare.o,,,113737270.0,ns,97
Engine,Monster,select-rare.o,,,114774042.0,ns,98
Engine,Monster,select-rare.o,,,116271037.0,ns,99
Engine,Monster,select-rare.o,,,117207814.0,ns,100
