group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,echo-line.c,,,98311028.0,ns,5
Path Exploration Strategies,Shortest Path,echo-line.c,,,196603572.0,ns,10
Path Exploration Strategies,Shortest Path,echo-line.c,,,295295613.0,ns,15
Path Exploration Strategies,Shortest Path,echo-line.c,,,393428617.0,ns,20
Path Exploration Strategies,Shortest Path,echo-line.c,,,492233973.0,ns,25
Path Exploration Strategies,Shortest Path,echo-line.c,,,590369230.0,ns,30
Path Exploration Strategies,Shortest Path,echo-line.c,,,689042762.0,ns,35
Path Exploration Strategies,Shortest Path,echo-line.c,,,787319243.0,ns,40
Path Exploration Strategies,Shortest Path,echo-line.c,,,885196263.0,ns,45
Path Exploration Strategies,Shortest Path,echo-line.c,,,983898068.0,ns,50
