group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,multiple-read.c,,,93417497.0,ns,4
Path Exploration Strategies,Shortest Path,multiple-read.c,,,186732032.0,ns,8
Path Exploration Strategies,Shortest Path,multiple-read.c,,,280238430.0,ns,12
Path Exploration Strategies,Shortest Path,multiple-read.c,,,373433457.0,ns,16
Path Exploration Strategies,Shortest Path,multiple-read.c,,,467141473.0,ns,20
Path Exploration Strategies,Shortest Path,multiple-read.c,,,560539309.0,ns,24
Path Exploration Strategies,Shortest Path,multiple-read.c,,,653561485.0,ns,28
Path Exploration Strategies,Shortest Path,multiple-read.c,,,748077533.0,ns,32
Path Exploration Strategies,Shortest Path,multiple-read.c,,,841527963.0,ns,36
Path Exploration Strategies,Shortest Path,multiple-read.c,,,933934282.0,ns,40
