group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,simple-assignment-1-35.c,,,131793614.0,ns,3
Path Exploration Strategies,Shortest Path,simple-assignment-1-35.c,,,263251027.0,ns,6
Path Exploration Strategies,Shortest Path,simple-assignment-1-35.c,,,394831066.0,ns,9
Path Exploration Strategies,Shortest Path,simple-assignment-1-35.c,,,526156699.0,ns,12
Path Exploration Strategies,Shortest Path,simple-assignment-1-35.c,,,658346741.0,ns,15
Path Exploration Strategies,Shortest Path,simple-assignment-1-35.c,,,789545761.0,ns,18
Path Exploration Strategies,Shortest Path,simple-assignment-1-35.c,,,921010200.0,ns,21
Path Exploration Strategies,Shortest Path,simple-assignment-1-35.c,,,1052801556.0,ns,24
Path Exploration Strategies,Shortest Path,simple-assignment-1-35.c,,,1184535259.0,ns,27
Path Exploration Strategies,Shortest Path,simple-assignment-1-35.c,,,1315773477.0,ns,30
