group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Monster,long-loop-fixed.o,,,2072860.0,ns,1
Engine,Monster,long-loop-fixed.o,,,3214322.0,ns,2
Engine,Monster,long-loop-fixed.o,,,6318572.0,ns,3
Engine,Monster,long-loop-fixed.o,,,8761442.0,ns,4
Engine,Monster,long-loop-fixed.o,,,10648042.0,ns,5
Engine,Monster,long-loop-fixed.o,,,10877801.0,ns,6
Engine,Monster,long-loop-fixed.o,,,12916303.0,ns,7
Engine,Monster,long-loop-fixed.o,,,14707358.0,ns,8
Engine,Monster,long-loop-fixed.o,,,16003771.0,ns,9
Engine,Monster,long-loop-fixed.o,,,21438663.0,ns,10
Engine,Monster,long-loop-fixed.o,,,17781058.0,ns,11
Engine,Monster,long-loop-fixed.o,,,22936263.0,ns,12
Engine,Monster,long-loop-fixed.o,,,24410744.0,ns,13
Engine,Monster,long-loop-fixed.o,,,24897052.0,ns,14
Engine,Monster,long-loop-fixed.o,,,31284922.0,ns,15
Engine,Monster,long-loop-fixed.o,,,26418919.0,ns,16
Engine,Monster,long-loop-fixed.o,,,30995071.0,ns,17
Engine,Monster,long-loop-fixed.o,,,30022414.0,ns,18
Engine,Monster,long-loop-fixed.o,,,33954442.0,ns,19
Engine,Monster,long-loop-fixed.o,,,37733022.0,ns,20
Engine,Monster,long-loop-fixed.o,,,38649837.0,ns,21
Engine,Monster,long-loop-fixed.o,,,39250071.0,ns,22
Engine,Monster,long-loop-fixed.o,,,39222874.0,ns,23
Engine,Monster,long-loop-fixed.o,,,42459669.0,ns,24
Engine,Monster,long-loop-fixed.o,,,41098038.0,ns,25
Engine,Monster,long-loop-fixed.o,,,43149326.0,ns,26
Engine,Monster,long-loop-fixed.o,,,50082735.0,ns,27
Engine,Monster,long-loop-fixed.o,,,49290221.0,ns,28
Engine,Monster,long-loop-fixed.o,,,49335987.0,ns,29
Engine,Monster,long-loop-fixed.o,,,51830666.0,ns,30
Engine,Monster,long-loop-fixed.o,,,58101892.0,ns,31
Engine,Monster,long-loop-fixed.o,,,62365525.0,ns,32
Engine,Monster,long-loop-fixed.o,,,58618088.0,ns,33
Engine,Monster,long-loop-fixed.o,,,62096855.0,ns,34
Engine,Monster,long-loop-fixed.o,,,66801489.0,ns,35
Engine,Monster,long-loop-fixed.o,,,66634666.0,ns,36
