group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Rarity,long-loop-fixed.o,,,1604748.0,ns,1
Engine,Rarity,long-loop-fixed.o,,,3162138.0,ns,2
Engine,Rarity,long-loop-fixed.o,,,4758617.0,ns,3
Engine,Rarity,long-loop-fixed.o,,,6319565.0,ns,4
Engine,Rarity,long-loop-fixed.o,,,7923882.0,ns,5
Engine,Rarity,long-loop-fixed.o,,,9530609.0,ns,6
Engine,Rarity,long-loop-fixed.o,,,11089562.0,ns,7
Engine,Rarity,long-loop-fixed.o,,,12707059.0,ns,8
Engine,Rarity,long-loop-fixed.o,,,14276712.0,ns,9
Engine,Rarity,long-loop-fixed.o,,,15843097.0,ns,10
Engine,Rarity,long-loop-fixed.o,,,17450549.0,ns,11
Engine,Rarity,long-loop-fixed.o,,,19039649.0,ns,12
Engine,Rarity,long-loop-fixed.o,,,20603325.0,ns,13
Engine,Rarity,long-loop-fixed.o,,,22212904.0,ns,14
Engine,Rarity,long-loop-fixed.o,,,23779891.0,ns,15
Engine,Rarity,long-loop-fixed.o,,,25422824.0,ns,16
Engine,Rarity,long-loop-fixed.o,,,26969143.0,ns,17
Engine,Rarity,long-loop-fixed.o,,,28522160.0,ns,18
Engine,Rarity,long-loop-fixed.o,,,30108415.0,ns,19
Engine,Rarity,long-loop-fixed.o,,,31661094.0,ns,20
Engine,Rarity,long-loop-fixed.o,,,33292933.0,ns,21
Engine,Rarity,long-loop-fixed.o,,,34863259.0,ns,22
Engine,Rarity,long-loop-fixed.o,,,36551773.0,ns,23
Engine,Rarity,long-loop-fixed.o,,,38050591.0,ns,24
Engine,Rarity,long-loop-fixed.o,,,39666843.0,ns,25
Engine,Rarity,long-loop-fixed.o,,,41287115.0,ns,26
Engine,Rarity,long-loop-fixed.o,,,42816183.0,ns,27
Engine,Rarity,long-loop-fixed.o,,,44348713.0,ns,28
Engine,Rarity,long-loop-fixed.o,,,45996909.0,ns,29
Engine,Rarity,long-loop-fixed.o,,,47599728.0,ns,30
Engine,Rarity,long-loop-fixed.o,,,49156812.0,ns,31
Engine,Rarity,long-loop-fixed.o,,,50738149.0,ns,32
Engine,Rarity,long-loop-fixed.o,,,52313776.0,ns,33
Engine,Rarity,long-loop-fixed.o,,,53840411.0,ns,34
Engine,Rarity,long-loop-fixed.o,,,55507578.0,ns,35
Engine,Rarity,long-loop-fixed.o,,,57173071.0,ns,36
Engine,Rarity,long-loop-fixed.o,,,58703032.0,ns,37
Engine,Rarity,long-loop-fixed.o,,,60217548.0,ns,38
Engine,Rarity,long-loop-fixed.o,,,61918277.0,ns,39
Engine,Rarity,long-loop-fixed.o,,,63516025.0,ns,40
Engine,Rarity,long-loop-fixed.o,,,65050064.0,ns,41
Engine,Rarity,long-loop-fixed.o,,,66590058.0,ns,42
Engine,Rarity,long-loop-fixed.o,,,68230762.0,ns,43
Engine,Rarity,long-loop-fixed.o,,,69811523.0,ns,44
Engine,Rarity,long-loop-fixed.o,,,71341845.0,ns,45
Engine,Rarity,long-loop-fixed.o,,,72966466.0,ns,46
Engine,Rarity,long-loop-fixed.o,,,74563054.0,ns,47
Engine,Rarity,long-loop-fixed.o,,,76138164.0,ns,48
Engine,Rarity,long-loop-fixed.o,,,77713951.0,ns,49
Engine,Rarity,long-loop-fixed.o,,,79246154.0,ns,50
Engine,Rarity,long-loop-fixed.o,,,80821388.0,ns,51
Engine,Rarity,long-loop-fixed.o,,,82506808.0,ns,52
Engine,Rarity,long-loop-fixed.o,,,84107033.0,ns,53
Engine,Rarity,long-loop-fixed.o,,,85580468.0,ns,54
Engine,Rarity,long-loop-fixed.o,,,87325209.0,ns,55
Engine,Rarity,long-loop-fixed.o,,,88856360.0,ns,56
Engine,Rarity,long-loop-fixed.o,,,90355776.0,ns,57
Engine,Rarity,long-loop-fixed.o,,,91967494.0,ns,58
Engine,Rarity,long-loop-fixed.o,,,93635613.0,ns,59
Engine,Rarity,long-loop-fixed.o,,,95182028.0,ns,60
Engine,Rarity,long-loop-fixed.o,,,96727146.0,ns,61
Engine,Rarity,long-loop-fixed.o,,,98242856.0,ns,62
Engine,Rarity,long-loop-fixed.o,,,99937745.0,ns,63
Engine,Rarity,long-loop-fixed.o,,,101554133.0,ns,64
Engine,Rarity,long-loop-fixed.o,,,103134852.0,ns,65
Engine,Rarity,long-loop-fixed.o,,,104781775.0,ns,66
Engine,Rarity,long-loop-fixed.o,,,106218509.0,ns,67
Engine,Rarity,long-loop-fixed.o,,,107825140.0,ns,68
Engine,Rarity,long-loop-fixed.o,,,109465317.0,ns,69
Engine,Rarity,long-loop-fixed.o,,,110957026.0,ns,70
Engine,Rarity,long-loop-fixed.o,,,112534083.0,ns,71
Engine,Rarity,long-loop-fixed.o,,,114255944.0,ns,72
Engine,Rarity,long-loop-fixed.o,,,115743380.0,ns,73
Engine,Rarity,long-loop-fixed.o,,,117378687.0,ns,74
Engine,Rarity,long-loop-fixed.o,,,119020633.0,ns,75
Engine,Rarity,long-loop-fixed.o,,,120510370.0,ns,76
Engine,Rarity,long-loop-fixed.o,,,122150832.0,ns,77
Engine,Rarity,long-loop-fixed.o,,,123664732.0,ns,78
Engine,Rarity,long-loop-fixed.o,,,125250579.0,ns,79
Engine,Rarity,long-loop-fixed.o,,,126834364.0,ns,80
Engine,Rarity,long-loop-fixed.o,,,128561980.0,ns,81
Engine,Rarity,long-loop-fixed.o,,,129997682.0,ns,82
Engine,Rarity,long-loop-fixed.o,,,131555749.0,ns,83
Engine,Rarity,long-loop-fixed.o,,,133203861.0,ns,84
Engine,Rarity,long-loop-fixed.o,,,134806885.0,ns,85
Engine,Rarity,long-loop-fixed.o,,,136345392.0,ns,86
Engine,Rarity,long-loop-fixed.o,,,137962101.0,ns,87
Engine,Rarity,long-loop-fixed.o,,,139489926.0,ns,88
Engine,Rarity,long-loop-fixed.o,,,141197024.0,ns,89
Engine,Rarity,long-loop-fixed.o,,,142706207.0,ns,90
Engine,Rarity,long-loop-fixed.o,,,144345502.0,ns,91
Engine,Rarity,long-loop-fixed.o,,,145866539.0,ns,92
Engine,Rarity,long-loop-fixed.o,,,147392179.0,ns,93
Engine,Rarity,long-loop-fixed.o,,,149337280.0,ns,94
Engine,Rarity,long-loop-fixed.o,,,150448252.0,ns,95
Engine,Rarity,long-loop-fixed.o,,,152123129.0,ns,96
Engine,Rarity,long-loop-fixed.o,,,153591580.0,ns,97
Engine,Rarity,long-loop-fixed.o,,,155275542.0,ns,98
Engine,Rarity,long-loop-fixed.o,,,156898051.0,ns,99
Engine,Rarity,long-loop-fixed.o,,,158409810.0,ns,100
