group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,memory-invalid-write.c,,,93082324.0,ns,5
Path Exploration Strategies,Coin Flip,memory-invalid-write.c,,,186146799.0,ns,10
Path Exploration Strategies,Coin Flip,memory-invalid-write.c,,,279156033.0,ns,15
Path Exploration Strategies,Coin Flip,memory-invalid-write.c,,,372114868.0,ns,20
Path Exploration Strategies,Coin Flip,memory-invalid-write.c,,,465365652.0,ns,25
Path Exploration Strategies,Coin Flip,memory-invalid-write.c,,,558325587.0,ns,30
Path Exploration Strategies,Coin Flip,memory-invalid-write.c,,,651621569.0,ns,35
Path Exploration Strategies,Coin Flip,memory-invalid-write.c,,,744591849.0,ns,40
Path Exploration Strategies,Coin Flip,memory-invalid-write.c,,,837916179.0,ns,45
Path Exploration Strategies,Coin Flip,memory-invalid-write.c,,,931094793.0,ns,50
