group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,multiple-read.c,,,95267259.0,ns,4
Path Exploration Strategies,Coin Flip,multiple-read.c,,,190816371.0,ns,8
Path Exploration Strategies,Coin Flip,multiple-read.c,,,286123287.0,ns,12
Path Exploration Strategies,Coin Flip,multiple-read.c,,,381581275.0,ns,16
Path Exploration Strategies,Coin Flip,multiple-read.c,,,476595472.0,ns,20
Path Exploration Strategies,Coin Flip,multiple-read.c,,,571344357.0,ns,24
Path Exploration Strategies,Coin Flip,multiple-read.c,,,667129406.0,ns,28
Path Exploration Strategies,Coin Flip,multiple-read.c,,,762552783.0,ns,32
Path Exploration Strategies,Coin Flip,multiple-read.c,,,858387213.0,ns,36
Path Exploration Strategies,Coin Flip,multiple-read.c,,,953255202.0,ns,40
