group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,nested-recursion-1-35.c,,,16091954440.0,ns,1
Path Exploration Strategies,Coin Flip,nested-recursion-1-35.c,,,41819596028.0,ns,1
Path Exploration Strategies,Coin Flip,nested-recursion-1-35.c,,,54017146303.0,ns,1
Path Exploration Strategies,Coin Flip,nested-recursion-1-35.c,,,19886407838.0,ns,1
Path Exploration Strategies,Coin Flip,nested-recursion-1-35.c,,,37964570910.0,ns,1
Path Exploration Strategies,Coin Flip,nested-recursion-1-35.c,,,10901039945.0,ns,1
Path Exploration Strategies,Coin Flip,nested-recursion-1-35.c,,,17407094102.0,ns,1
Path Exploration Strategies,Coin Flip,nested-recursion-1-35.c,,,44090113765.0,ns,1
Path Exploration Strategies,Coin Flip,nested-recursion-1-35.c,,,42846867677.0,ns,1
Path Exploration Strategies,Coin Flip,nested-recursion-1-35.c,,,45888766372.0,ns,1
