group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,recursive-fibonacci-1-10.c,,,447942641.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-fibonacci-1-10.c,,,428129814.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-fibonacci-1-10.c,,,1868044348.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-fibonacci-1-10.c,,,2137611145.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-fibonacci-1-10.c,,,2049203828.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-fibonacci-1-10.c,,,266676786.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-fibonacci-1-10.c,,,2008436091.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-fibonacci-1-10.c,,,1975679325.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-fibonacci-1-10.c,,,263797259.0,ns,1
Path Exploration Strategies,Coin Flip,recursive-fibonacci-1-10.c,,,2098734388.0,ns,1
