group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,if-else.c,,,126671070.0,ns,2
Path Exploration Strategies,Shortest Path,if-else.c,,,253377814.0,ns,4
Path Exploration Strategies,Shortest Path,if-else.c,,,379756251.0,ns,6
Path Exploration Strategies,Shortest Path,if-else.c,,,506182623.0,ns,8
Path Exploration Strategies,Shortest Path,if-else.c,,,632499235.0,ns,10
Path Exploration Strategies,Shortest Path,if-else.c,,,758634289.0,ns,12
Path Exploration Strategies,Shortest Path,if-else.c,,,884972671.0,ns,14
Path Exploration Strategies,Shortest Path,if-else.c,,,1012052571.0,ns,16
Path Exploration Strategies,Shortest Path,if-else.c,,,1138425994.0,ns,18
Path Exploration Strategies,Shortest Path,if-else.c,,,1264556746.0,ns,20
