group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,multiple-read.c,,,95042278.0,ns,4
Path Exploration Strategies,Shortest Path,multiple-read.c,,,189894498.0,ns,8
Path Exploration Strategies,Shortest Path,multiple-read.c,,,284911528.0,ns,12
Path Exploration Strategies,Shortest Path,multiple-read.c,,,380430503.0,ns,16
Path Exploration Strategies,Shortest Path,multiple-read.c,,,474992072.0,ns,20
Path Exploration Strategies,Shortest Path,multiple-read.c,,,570071332.0,ns,24
Path Exploration Strategies,Shortest Path,multiple-read.c,,,665216060.0,ns,28
Path Exploration Strategies,Shortest Path,multiple-read.c,,,760954902.0,ns,32
Path Exploration Strategies,Shortest Path,multiple-read.c,,,855404613.0,ns,36
Path Exploration Strategies,Shortest Path,multiple-read.c,,,950150089.0,ns,40
