group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17034526515.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17018588519.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17022202085.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17028074738.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,16998339247.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17010151295.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17000289155.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17014411491.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17009419751.0,ns,1
Path Exploration Strategies,Shortest Path,recursive-factorial-1-35.c,,,17002276448.0,ns,1
