group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Boolector,demonstration.o,,,51271918.0,ns,21
Engine,Boolector,demonstration.o,,,51266392.0,ns,21
Engine,Boolector,demonstration.o,,,51247897.0,ns,21
Engine,Boolector,demonstration.o,,,51254638.0,ns,21
Engine,Boolector,demonstration.o,,,51271040.0,ns,21
Engine,Boolector,demonstration.o,,,51197503.0,ns,21
Engine,Boolector,demonstration.o,,,51205080.0,ns,21
Engine,Boolector,demonstration.o,,,51211556.0,ns,21
Engine,Boolector,demonstration.o,,,51234451.0,ns,21
Engine,Boolector,demonstration.o,,,51212938.0,ns,21
Engine,Boolector,demonstration.o,,,51250333.0,ns,21
Engine,Boolector,demonstration.o,,,51213653.0,ns,21
Engine,Boolector,demonstration.o,,,51200164.0,ns,21
Engine,Boolector,demonstration.o,,,51185451.0,ns,21
Engine,Boolector,demonstration.o,,,51245148.0,ns,21
Engine,Boolector,demonstration.o,,,51223450.0,ns,21
Engine,Boolector,demonstration.o,,,51212760.0,ns,21
Engine,Boolector,demonstration.o,,,51249199.0,ns,21
Engine,Boolector,demonstration.o,,,51212120.0,ns,21
Engine,Boolector,demonstration.o,,,51182608.0,ns,21
Engine,Boolector,demonstration.o,,,51161840.0,ns,21
Engine,Boolector,demonstration.o,,,51184498.0,ns,21
Engine,Boolector,demonstration.o,,,51187907.0,ns,21
Engine,Boolector,demonstration.o,,,51181427.0,ns,21
Engine,Boolector,demonstration.o,,,51196994.0,ns,21
Engine,Boolector,demonstration.o,,,51220675.0,ns,21
Engine,Boolector,demonstration.o,,,51205423.0,ns,21
Engine,Boolector,demonstration.o,,,51194057.0,ns,21
Engine,Boolector,demonstration.o,,,51185503.0,ns,21
Engine,Boolector,demonstration.o,,,51164158.0,ns,21
Engine,Boolector,demonstration.o,,,51191997.0,ns,21
Engine,Boolector,demonstration.o,,,51175581.0,ns,21
Engine,Boolector,demonstration.o,,,51168842.0,ns,21
Engine,Boolector,demonstration.o,,,51152165.0,ns,21
Engine,Boolector,demonstration.o,,,51218472.0,ns,21
Engine,Boolector,demonstration.o,,,51262265.0,ns,21
Engine,Boolector,demonstration.o,,,51225896.0,ns,21
Engine,Boolector,demonstration.o,,,51250437.0,ns,21
Engine,Boolector,demonstration.o,,,51214882.0,ns,21
Engine,Boolector,demonstration.o,,,51327085.0,ns,21
Engine,Boolector,demonstration.o,,,51199303.0,ns,21
Engine,Boolector,demonstration.o,,,51194384.0,ns,21
Engine,Boolector,demonstration.o,,,51200246.0,ns,21
Engine,Boolector,demonstration.o,,,51175153.0,ns,21
Engine,Boolector,demonstration.o,,,51211763.0,ns,21
Engine,Boolector,demonstration.o,,,51173313.0,ns,21
Engine,Boolector,demonstration.o,,,51205032.0,ns,21
Engine,Boolector,demonstration.o,,,51181872.0,ns,21
Engine,Boolector,demonstration.o,,,51163512.0,ns,21
Engine,Boolector,demonstration.o,,,51239740.0,ns,21
Engine,Boolector,demonstration.o,,,51228589.0,ns,21
Engine,Boolector,demonstration.o,,,51195687.0,ns,21
Engine,Boolector,demonstration.o,,,51203897.0,ns,21
Engine,Boolector,demonstration.o,,,51201166.0,ns,21
Engine,Boolector,demonstration.o,,,51253693.0,ns,21
Engine,Boolector,demonstration.o,,,51218540.0,ns,21
Engine,Boolector,demonstration.o,,,51246911.0,ns,21
Engine,Boolector,demonstration.o,,,51252288.0,ns,21
Engine,Boolector,demonstration.o,,,51174493.0,ns,21
Engine,Boolector,demonstration.o,,,51217854.0,ns,21
Engine,Boolector,demonstration.o,,,51242313.0,ns,21
Engine,Boolector,demonstration.o,,,51199863.0,ns,21
Engine,Boolector,demonstration.o,,,51214887.0,ns,21
Engine,Boolector,demonstration.o,,,51196899.0,ns,21
Engine,Boolector,demonstration.o,,,51221056.0,ns,21
Engine,Boolector,demonstration.o,,,51203057.0,ns,21
Engine,Boolector,demonstration.o,,,51228821.0,ns,21
Engine,Boolector,demonstration.o,,,51230318.0,ns,21
Engine,Boolector,demonstration.o,,,51197164.0,ns,21
Engine,Boolector,demonstration.o,,,51214362.0,ns,21
Engine,Boolector,demonstration.o,,,51220055.0,ns,21
Engine,Boolector,demonstration.o,,,51200048.0,ns,21
Engine,Boolector,demonstration.o,,,51209659.0,ns,21
Engine,Boolector,demonstration.o,,,51199560.0,ns,21
Engine,Boolector,demonstration.o,,,51184182.0,ns,21
Engine,Boolector,demonstration.o,,,51224661.0,ns,21
Engine,Boolector,demonstration.o,,,51227838.0,ns,21
Engine,Boolector,demonstration.o,,,51213338.0,ns,21
Engine,Boolector,demonstration.o,,,51217918.0,ns,21
Engine,Boolector,demonstration.o,,,51220952.0,ns,21
Engine,Boolector,demonstration.o,,,51239383.0,ns,21
Engine,Boolector,demonstration.o,,,51223338.0,ns,21
Engine,Boolector,demonstration.o,,,51251302.0,ns,21
Engine,Boolector,demonstration.o,,,51222694.0,ns,21
Engine,Boolector,demonstration.o,,,51246466.0,ns,21
Engine,Boolector,demonstration.o,,,51217406.0,ns,21
Engine,Boolector,demonstration.o,,,51225232.0,ns,21
Engine,Boolector,demonstration.o,,,51239578.0,ns,21
Engine,Boolector,demonstration.o,,,51201563.0,ns,21
Engine,Boolector,demonstration.o,,,51225650.0,ns,21
Engine,Boolector,demonstration.o,,,51235058.0,ns,21
Engine,Boolector,demonstration.o,,,51216555.0,ns,21
Engine,Boolector,demonstration.o,,,51239863.0,ns,21
Engine,Boolector,demonstration.o,,,51244468.0,ns,21
Engine,Boolector,demonstration.o,,,51207458.0,ns,21
Engine,Boolector,demonstration.o,,,51208566.0,ns,21
Engine,Boolector,demonstration.o,,,51272412.0,ns,21
Engine,Boolector,demonstration.o,,,51242973.0,ns,21
Engine,Boolector,demonstration.o,,,51226982.0,ns,21
Engine,Boolector,demonstration.o,,,51216851.0,ns,21
