group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Boolector,long-loop-fixed.o,,,52685765.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52647350.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52673648.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52673885.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52663872.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52628735.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52664445.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52634611.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52634291.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52642886.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52640710.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52712411.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52673168.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52710175.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52664341.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52644930.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52654276.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52648875.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52635283.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52660891.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52683771.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52648846.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52640960.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52639435.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52669888.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52642039.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52640169.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52642348.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52636932.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52638187.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52668903.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52680380.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52639579.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52640006.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52669600.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52636548.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52679852.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52633699.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52659795.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52644038.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52672139.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52614453.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52664973.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52644933.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52638758.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52643216.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,52630086.0,ns,9
