group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Z3,demonstration.o,,,81430587.0,ns,2
Engine,Z3,demonstration.o,,,81388084.0,ns,2
Engine,Z3,demonstration.o,,,81401242.0,ns,2
Engine,Z3,demonstration.o,,,81391833.0,ns,2
Engine,Z3,demonstration.o,,,81443578.0,ns,2
Engine,Z3,demonstration.o,,,81497768.0,ns,2
Engine,Z3,demonstration.o,,,81423014.0,ns,2
Engine,Z3,demonstration.o,,,81343645.0,ns,2
Engine,Z3,demonstration.o,,,81480612.0,ns,2
Engine,Z3,demonstration.o,,,81461595.0,ns,2
Engine,Z3,demonstration.o,,,81267388.0,ns,2
Engine,Z3,demonstration.o,,,81466354.0,ns,2
Engine,Z3,demonstration.o,,,81403884.0,ns,2
Engine,Z3,demonstration.o,,,81356027.0,ns,2
Engine,Z3,demonstration.o,,,81387441.0,ns,2
Engine,Z3,demonstration.o,,,81354172.0,ns,2
Engine,Z3,demonstration.o,,,81521834.0,ns,2
Engine,Z3,demonstration.o,,,81360789.0,ns,2
Engine,Z3,demonstration.o,,,81354459.0,ns,2
Engine,Z3,demonstration.o,,,81394550.0,ns,2
Engine,Z3,demonstration.o,,,81363440.0,ns,2
Engine,Z3,demonstration.o,,,81484901.0,ns,2
Engine,Z3,demonstration.o,,,81439974.0,ns,2
Engine,Z3,demonstration.o,,,81401435.0,ns,2
Engine,Z3,demonstration.o,,,81418938.0,ns,2
Engine,Z3,demonstration.o,,,81300987.0,ns,2
Engine,Z3,demonstration.o,,,81401557.0,ns,2
Engine,Z3,demonstration.o,,,81364253.0,ns,2
Engine,Z3,demonstration.o,,,81330760.0,ns,2
Engine,Z3,demonstration.o,,,81350823.0,ns,2
Engine,Z3,demonstration.o,,,81392322.0,ns,2
Engine,Z3,demonstration.o,,,81398071.0,ns,2
Engine,Z3,demonstration.o,,,81377918.0,ns,2
Engine,Z3,demonstration.o,,,81359551.0,ns,2
Engine,Z3,demonstration.o,,,81411849.0,ns,2
Engine,Z3,demonstration.o,,,81399151.0,ns,2
Engine,Z3,demonstration.o,,,81387261.0,ns,2
Engine,Z3,demonstration.o,,,81454590.0,ns,2
Engine,Z3,demonstration.o,,,81388608.0,ns,2
Engine,Z3,demonstration.o,,,81369608.0,ns,2
Engine,Z3,demonstration.o,,,81376358.0,ns,2
Engine,Z3,demonstration.o,,,81381108.0,ns,2
Engine,Z3,demonstration.o,,,81401514.0,ns,2
Engine,Z3,demonstration.o,,,81292618.0,ns,2
Engine,Z3,demonstration.o,,,81504512.0,ns,2
Engine,Z3,demonstration.o,,,81304808.0,ns,2
Engine,Z3,demonstration.o,,,81423694.0,ns,2
Engine,Z3,demonstration.o,,,81447358.0,ns,2
Engine,Z3,demonstration.o,,,81385017.0,ns,2
Engine,Z3,demonstration.o,,,81443481.0,ns,2
Engine,Z3,demonstration.o,,,81379468.0,ns,2
Engine,Z3,demonstration.o,,,81432878.0,ns,2
Engine,Z3,demonstration.o,,,81356528.0,ns,2
Engine,Z3,demonstration.o,,,81302298.0,ns,2
Engine,Z3,demonstration.o,,,81411229.0,ns,2
Engine,Z3,demonstration.o,,,81492776.0,ns,2
