group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Z3,long-loop-fixed.o,,,65855923.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65886487.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65882563.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65869381.0,ns,1
Engine,Z3,long-loop-fixed.o,,,66022646.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65876977.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65936103.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65935026.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65831762.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65875314.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65860184.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65890209.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65906096.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65966856.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65976342.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65890106.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65894315.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65933174.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65824641.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65863470.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65886221.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65916699.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65850515.0,ns,1
Engine,Z3,long-loop-fixed.o,,,66020099.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65961931.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65829170.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65846436.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65884488.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65859690.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65854072.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65879492.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65887859.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65879865.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65877873.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65959373.0,ns,1
Engine,Z3,long-loop-fixed.o,,,66023433.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65930845.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65981919.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65962996.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65849211.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65868009.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65839779.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65816723.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65830560.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65954521.0,ns,1
Engine,Z3,long-loop-fixed.o,,,66021807.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65913886.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65875640.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65920211.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65885796.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65892057.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65876604.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65960267.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65884575.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65986438.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65956822.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65888645.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65886769.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65872510.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65927156.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65849069.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65852096.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65857078.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65835528.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65944281.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65894281.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65965640.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65806008.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65919288.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65872549.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65876841.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65787612.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65877605.0,ns,1
Engine,Z3,long-loop-fixed.o,,,65835123.0,ns,1
