group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,121670287.0,ns,1
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,243333942.0,ns,2
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,365025336.0,ns,3
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,486841695.0,ns,4
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,608317689.0,ns,5
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,729972927.0,ns,6
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,851661544.0,ns,7
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,973399052.0,ns,8
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,1095004813.0,ns,9
Path Exploration Strategies,Shortest Path,count_up_down-1.c,,,1216749218.0,ns,10
