group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Boolector,long-loop-fixed.o,,,53256888.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53279872.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53329872.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53276504.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53312785.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53277144.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53248632.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53263490.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53260586.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53243498.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53279492.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53338575.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53283334.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53293286.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53277681.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53273736.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53301887.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53287923.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53310559.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53290074.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53291634.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53308142.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53315096.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53275123.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53309754.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53283959.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53319896.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53307712.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53286600.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53276281.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53339133.0,ns,9
