group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Monster,select-rare.o,,,1217997.0,ns,1
Engine,Monster,select-rare.o,,,2462123.0,ns,2
Engine,Monster,select-rare.o,,,3587596.0,ns,3
Engine,Monster,select-rare.o,,,4793857.0,ns,4
Engine,Monster,select-rare.o,,,6148827.0,ns,5
Engine,Monster,select-rare.o,,,7227999.0,ns,6
Engine,Monster,select-rare.o,,,8401365.0,ns,7
Engine,Monster,select-rare.o,,,9751154.0,ns,8
Engine,Monster,select-rare.o,,,10866984.0,ns,9
Engine,Monster,select-rare.o,,,12064981.0,ns,10
Engine,Monster,select-rare.o,,,13344756.0,ns,11
Engine,Monster,select-rare.o,,,14246111.0,ns,12
Engine,Monster,select-rare.o,,,15769712.0,ns,13
Engine,Monster,select-rare.o,,,16821787.0,ns,14
Engine,Monster,select-rare.o,,,18339154.0,ns,15
Engine,Monster,select-rare.o,,,19385346.0,ns,16
Engine,Monster,select-rare.o,,,20478490.0,ns,17
Engine,Monster,select-rare.o,,,21900886.0,ns,18
Engine,Monster,select-rare.o,,,22997020.0,ns,19
Engine,Monster,select-rare.o,,,24065998.0,ns,20
Engine,Monster,select-rare.o,,,25366325.0,ns,21
Engine,Monster,select-rare.o,,,26626339.0,ns,22
Engine,Monster,select-rare.o,,,27688055.0,ns,23
Engine,Monster,select-rare.o,,,29124922.0,ns,24
Engine,Monster,select-rare.o,,,30173187.0,ns,25
Engine,Monster,select-rare.o,,,31350547.0,ns,26
Engine,Monster,select-rare.o,,,32747188.0,ns,27
Engine,Monster,select-rare.o,,,33667670.0,ns,28
Engine,Monster,select-rare.o,,,34832526.0,ns,29
Engine,Monster,select-rare.o,,,35920565.0,ns,30
Engine,Monster,select-rare.o,,,37320637.0,ns,31
Engine,Monster,select-rare.o,,,38629696.0,ns,32
Engine,Monster,select-rare.o,,,39658681.0,ns,33
Engine,Monster,select-rare.o,,,40845133.0,ns,34
Engine,Monster,select-rare.o,,,42179516.0,ns,35
Engine,Monster,select-rare.o,,,43314594.0,ns,36
Engine,Monster,select-rare.o,,,44260861.0,ns,37
Engine,Monster,select-rare.o,,,45715755.0,ns,38
Engine,Monster,select-rare.o,,,47103611.0,ns,39
Engine,Monster,select-rare.o,,,48292574.0,ns,40
Engine,Monster,select-rare.o,,,49345202.0,ns,41
Engine,Monster,select-rare.o,,,50593214.0,ns,42
Engine,Monster,select-rare.o,,,51930442.0,ns,43
Engine,Monster,select-rare.o,,,52776841.0,ns,44
Engine,Monster,select-rare.o,,,54123999.0,ns,45
Engine,Monster,select-rare.o,,,55785104.0,ns,46
Engine,Monster,select-rare.o,,,56603212.0,ns,47
Engine,Monster,select-rare.o,,,57525437.0,ns,48
Engine,Monster,select-rare.o,,,58883374.0,ns,49
Engine,Monster,select-rare.o,,,60528841.0,ns,50
Engine,Monster,select-rare.o,,,61877557.0,ns,51
Engine,Monster,select-rare.o,,,62355941.0,ns,52
Engine,Monster,select-rare.o,,,64011775.0,ns,53
Engine,Monster,select-rare.o,,,65378410.0,ns,54
Engine,Monster,select-rare.o,,,66143113.0,ns,55
Engine,Monster,select-rare.o,,,67401132.0,ns,56
Engine,Monster,select-rare.o,,,68744568.0,ns,57
Engine,Monster,select-rare.o,,,70106305.0,ns,58
Engine,Monster,select-rare.o,,,70867197.0,ns,59
Engine,Monster,select-rare.o,,,72229755.0,ns,60
Engine,Monster,select-rare.o,,,73657116.0,ns,61
Engine,Monster,select-rare.o,,,74926150.0,ns,62
Engine,Monster,select-rare.o,,,75600739.0,ns,63
Engine,Monster,select-rare.o,,,77136882.0,ns,64
Engine,Monster,select-rare.o,,,78647140.0,ns,65
Engine,Monster,select-rare.o,,,79444140.0,ns,66
Engine,Monster,select-rare.o,,,80718339.0,ns,67
Engine,Monster,select-rare.o,,,81942435.0,ns,68
Engine,Monster,select-rare.o,,,83210291.0,ns,69
Engine,Monster,select-rare.o,,,84302455.0,ns,70
Engine,Monster,select-rare.o,,,85389510.0,ns,71
Engine,Monster,select-rare.o,,,86402270.0,ns,72
Engine,Monster,select-rare.o,,,87990130.0,ns,73
Engine,Monster,select-rare.o,,,88999937.0,ns,74
Engine,Monster,select-rare.o,,,90600251.0,ns,75
Engine,Monster,select-rare.o,,,91181430.0,ns,76
Engine,Monster,select-rare.o,,,93293836.0,ns,77
Engine,Monster,select-rare.o,,,94338818.0,ns,78
Engine,Monster,select-rare.o,,,94780185.0,ns,79
Engine,Monster,select-rare.o,,,96336134.0,ns,80
Engine,Monster,select-rare.o,,,97466394.0,ns,81
Engine,Monster,select-rare.o,,,98919897.0,ns,82
Engine,Monster,select-rare.o,,,99916515.0,ns,83
Engine,Monster,select-rare.o,,,101147139.0,ns,84
Engine,Monster,select-rare.o,,,102559892.0,ns,85
Engine,Monster,select-rare.o,,,103559093.0,ns,86
Engine,Monster,select-rare.o,,,104840809.0,ns,87
Engine,Monster,select-rare.o,,,106262509.0,ns,88
Engine,Monster,select-rare.o,,,107454027.0,ns,89
Engine,Monster,select-rare.o,,,108395772.0,ns,90
Engine,Monster,select-rare.o,,,109597769.0,ns,91
Engine,Monster,select-rare.o,,,111055079.0,ns,92
Engine,Monster,select-rare.o,,,112046366.0,ns,93
Engine,Monster,select-rare.o,,,113408105.0,ns,94
