group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,echo-line.c,,,99976137.0,ns,5
Path Exploration Strategies,Shortest Path,echo-line.c,,,199852049.0,ns,10
Path Exploration Strategies,Shortest Path,echo-line.c,,,299855756.0,ns,15
Path Exploration Strategies,Shortest Path,echo-line.c,,,399967464.0,ns,20
Path Exploration Strategies,Shortest Path,echo-line.c,,,499872120.0,ns,25
Path Exploration Strategies,Shortest Path,echo-line.c,,,599916945.0,ns,30
Path Exploration Strategies,Shortest Path,echo-line.c,,,699630345.0,ns,35
Path Exploration Strategies,Shortest Path,echo-line.c,,,799819358.0,ns,40
Path Exploration Strategies,Shortest Path,echo-line.c,,,899347789.0,ns,45
Path Exploration Strategies,Shortest Path,echo-line.c,,,999771756.0,ns,50
