group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,if-else.c,,,126153984.0,ns,2
Path Exploration Strategies,Shortest Path,if-else.c,,,252239601.0,ns,4
Path Exploration Strategies,Shortest Path,if-else.c,,,378522512.0,ns,6
Path Exploration Strategies,Shortest Path,if-else.c,,,504539458.0,ns,8
Path Exploration Strategies,Shortest Path,if-else.c,,,631089431.0,ns,10
Path Exploration Strategies,Shortest Path,if-else.c,,,757177289.0,ns,12
Path Exploration Strategies,Shortest Path,if-else.c,,,883015620.0,ns,14
Path Exploration Strategies,Shortest Path,if-else.c,,,1009044212.0,ns,16
Path Exploration Strategies,Shortest Path,if-else.c,,,1135311128.0,ns,18
Path Exploration Strategies,Shortest Path,if-else.c,,,1261556266.0,ns,20
