group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Shortest Path,multiple-read.c,,,94482095.0,ns,4
Path Exploration Strategies,Shortest Path,multiple-read.c,,,188987529.0,ns,8
Path Exploration Strategies,Shortest Path,multiple-read.c,,,283545492.0,ns,12
Path Exploration Strategies,Shortest Path,multiple-read.c,,,377976549.0,ns,16
Path Exploration Strategies,Shortest Path,multiple-read.c,,,472645384.0,ns,20
Path Exploration Strategies,Shortest Path,multiple-read.c,,,567660664.0,ns,24
Path Exploration Strategies,Shortest Path,multiple-read.c,,,661997562.0,ns,28
Path Exploration Strategies,Shortest Path,multiple-read.c,,,755956913.0,ns,32
Path Exploration Strategies,Shortest Path,multiple-read.c,,,850075834.0,ns,36
Path Exploration Strategies,Shortest Path,multiple-read.c,,,945634605.0,ns,40
