group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Rarity,if-simple.o,,,1446534.0,ns,4
Engine,Rarity,if-simple.o,,,2506463.0,ns,8
Engine,Rarity,if-simple.o,,,4146255.0,ns,12
Engine,Rarity,if-simple.o,,,4509059.0,ns,16
Engine,Rarity,if-simple.o,,,5574175.0,ns,20
Engine,Rarity,if-simple.o,,,6835596.0,ns,24
Engine,Rarity,if-simple.o,,,8834102.0,ns,28
Engine,Rarity,if-simple.o,,,9404473.0,ns,32
Engine,Rarity,if-simple.o,,,11450024.0,ns,36
Engine,Rarity,if-simple.o,,,12449755.0,ns,40
Engine,Rarity,if-simple.o,,,14138929.0,ns,44
Engine,Rarity,if-simple.o,,,15837089.0,ns,48
Engine,Rarity,if-simple.o,,,15859279.0,ns,52
Engine,Rarity,if-simple.o,,,17206959.0,ns,56
Engine,Rarity,if-simple.o,,,17830848.0,ns,60
Engine,Rarity,if-simple.o,,,19079348.0,ns,64
Engine,Rarity,if-simple.o,,,21614005.0,ns,68
Engine,Rarity,if-simple.o,,,20521292.0,ns,72
Engine,Rarity,if-simple.o,,,23349612.0,ns,76
Engine,Rarity,if-simple.o,,,24686679.0,ns,80
Engine,Rarity,if-simple.o,,,25644061.0,ns,84
Engine,Rarity,if-simple.o,,,27628131.0,ns,88
Engine,Rarity,if-simple.o,,,27065031.0,ns,92
Engine,Rarity,if-simple.o,,,29922459.0,ns,96
Engine,Rarity,if-simple.o,,,30392135.0,ns,100
Engine,Rarity,if-simple.o,,,31708516.0,ns,104
Engine,Rarity,if-simple.o,,,32862414.0,ns,108
Engine,Rarity,if-simple.o,,,34225575.0,ns,112
Engine,Rarity,if-simple.o,,,35901360.0,ns,116
Engine,Rarity,if-simple.o,,,35749485.0,ns,120
Engine,Rarity,if-simple.o,,,38373367.0,ns,124
Engine,Rarity,if-simple.o,,,39887467.0,ns,128
Engine,Rarity,if-simple.o,,,40696442.0,ns,132
Engine,Rarity,if-simple.o,,,42600387.0,ns,136
Engine,Rarity,if-simple.o,,,42062345.0,ns,140
Engine,Rarity,if-simple.o,,,43995144.0,ns,144
Engine,Rarity,if-simple.o,,,47170548.0,ns,148
Engine,Rarity,if-simple.o,,,46374940.0,ns,152
Engine,Rarity,if-simple.o,,,48390361.0,ns,156
Engine,Rarity,if-simple.o,,,48727858.0,ns,160
Engine,Rarity,if-simple.o,,,50270447.0,ns,164
Engine,Rarity,if-simple.o,,,50589008.0,ns,168
Engine,Rarity,if-simple.o,,,50192561.0,ns,172
Engine,Rarity,if-simple.o,,,55058513.0,ns,176
Engine,Rarity,if-simple.o,,,56034772.0,ns,180
Engine,Rarity,if-simple.o,,,56715881.0,ns,184
Engine,Rarity,if-simple.o,,,56461146.0,ns,188
Engine,Rarity,if-simple.o,,,57903410.0,ns,192
Engine,Rarity,if-simple.o,,,61483342.0,ns,196
Engine,Rarity,if-simple.o,,,63203594.0,ns,200
Engine,Rarity,if-simple.o,,,62176677.0,ns,204
Engine,Rarity,if-simple.o,,,64064712.0,ns,208
Engine,Rarity,if-simple.o,,,65370496.0,ns,212
Engine,Rarity,if-simple.o,,,65234138.0,ns,216
Engine,Rarity,if-simple.o,,,68218690.0,ns,220
Engine,Rarity,if-simple.o,,,68693557.0,ns,224
Engine,Rarity,if-simple.o,,,68899069.0,ns,228
Engine,Rarity,if-simple.o,,,69762090.0,ns,232
Engine,Rarity,if-simple.o,,,69929306.0,ns,236
Engine,Rarity,if-simple.o,,,73795536.0,ns,240
Engine,Rarity,if-simple.o,,,71829721.0,ns,244
Engine,Rarity,if-simple.o,,,74549261.0,ns,248
Engine,Rarity,if-simple.o,,,77606776.0,ns,252
Engine,Rarity,if-simple.o,,,79196571.0,ns,256
Engine,Rarity,if-simple.o,,,79029112.0,ns,260
Engine,Rarity,if-simple.o,,,80617491.0,ns,264
Engine,Rarity,if-simple.o,,,82640135.0,ns,268
Engine,Rarity,if-simple.o,,,81610256.0,ns,272
Engine,Rarity,if-simple.o,,,85001892.0,ns,276
Engine,Rarity,if-simple.o,,,84357017.0,ns,280
Engine,Rarity,if-simple.o,,,84632402.0,ns,284
Engine,Rarity,if-simple.o,,,88281558.0,ns,288
Engine,Rarity,if-simple.o,,,89130932.0,ns,292
Engine,Rarity,if-simple.o,,,90666257.0,ns,296
Engine,Rarity,if-simple.o,,,89304164.0,ns,300
Engine,Rarity,if-simple.o,,,94086681.0,ns,304
Engine,Rarity,if-simple.o,,,94870208.0,ns,308
Engine,Rarity,if-simple.o,,,93898207.0,ns,312
Engine,Rarity,if-simple.o,,,97345682.0,ns,316
