group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Z3,demonstration.o,,,82745873.0,ns,2
Engine,Z3,demonstration.o,,,82642086.0,ns,2
Engine,Z3,demonstration.o,,,82639013.0,ns,2
Engine,Z3,demonstration.o,,,82706549.0,ns,2
Engine,Z3,demonstration.o,,,82657529.0,ns,2
Engine,Z3,demonstration.o,,,82627594.0,ns,2
Engine,Z3,demonstration.o,,,82576472.0,ns,2
Engine,Z3,demonstration.o,,,82670887.0,ns,2
Engine,Z3,demonstration.o,,,82664717.0,ns,2
Engine,Z3,demonstration.o,,,82624338.0,ns,2
Engine,Z3,demonstration.o,,,82693054.0,ns,2
Engine,Z3,demonstration.o,,,82684985.0,ns,2
Engine,Z3,demonstration.o,,,82711816.0,ns,2
Engine,Z3,demonstration.o,,,82698359.0,ns,2
Engine,Z3,demonstration.o,,,82679177.0,ns,2
Engine,Z3,demonstration.o,,,82747269.0,ns,2
Engine,Z3,demonstration.o,,,82737404.0,ns,2
Engine,Z3,demonstration.o,,,82622893.0,ns,2
Engine,Z3,demonstration.o,,,82742248.0,ns,2
Engine,Z3,demonstration.o,,,82721651.0,ns,2
Engine,Z3,demonstration.o,,,82738744.0,ns,2
Engine,Z3,demonstration.o,,,82894665.0,ns,2
Engine,Z3,demonstration.o,,,82789472.0,ns,2
Engine,Z3,demonstration.o,,,82643420.0,ns,2
Engine,Z3,demonstration.o,,,82813562.0,ns,2
Engine,Z3,demonstration.o,,,82646619.0,ns,2
Engine,Z3,demonstration.o,,,82738531.0,ns,2
Engine,Z3,demonstration.o,,,82659243.0,ns,2
Engine,Z3,demonstration.o,,,82657192.0,ns,2
Engine,Z3,demonstration.o,,,82700532.0,ns,2
Engine,Z3,demonstration.o,,,82793801.0,ns,2
Engine,Z3,demonstration.o,,,82895423.0,ns,2
Engine,Z3,demonstration.o,,,82827242.0,ns,2
Engine,Z3,demonstration.o,,,82753317.0,ns,2
Engine,Z3,demonstration.o,,,82988594.0,ns,2
Engine,Z3,demonstration.o,,,82968260.0,ns,2
Engine,Z3,demonstration.o,,,82837377.0,ns,2
Engine,Z3,demonstration.o,,,82942550.0,ns,2
Engine,Z3,demonstration.o,,,82938011.0,ns,2
Engine,Z3,demonstration.o,,,82761974.0,ns,2
Engine,Z3,demonstration.o,,,82684979.0,ns,2
Engine,Z3,demonstration.o,,,82799803.0,ns,2
Engine,Z3,demonstration.o,,,82848498.0,ns,2
Engine,Z3,demonstration.o,,,82867984.0,ns,2
Engine,Z3,demonstration.o,,,82844954.0,ns,2
Engine,Z3,demonstration.o,,,82847082.0,ns,2
Engine,Z3,demonstration.o,,,82779291.0,ns,2
Engine,Z3,demonstration.o,,,82732964.0,ns,2
Engine,Z3,demonstration.o,,,82747309.0,ns,2
Engine,Z3,demonstration.o,,,82812388.0,ns,2
Engine,Z3,demonstration.o,,,82786562.0,ns,2
Engine,Z3,demonstration.o,,,82877691.0,ns,2
Engine,Z3,demonstration.o,,,82907938.0,ns,2
Engine,Z3,demonstration.o,,,82735334.0,ns,2
Engine,Z3,demonstration.o,,,82821499.0,ns,2
Engine,Z3,demonstration.o,,,82642918.0,ns,2
Engine,Z3,demonstration.o,,,82725338.0,ns,2
Engine,Z3,demonstration.o,,,82863588.0,ns,2
Engine,Z3,demonstration.o,,,82839135.0,ns,2
Engine,Z3,demonstration.o,,,82728422.0,ns,2
Engine,Z3,demonstration.o,,,82679567.0,ns,2
Engine,Z3,demonstration.o,,,82765916.0,ns,2
Engine,Z3,demonstration.o,,,83032318.0,ns,2
Engine,Z3,demonstration.o,,,83036468.0,ns,2
Engine,Z3,demonstration.o,,,82867680.0,ns,2
Engine,Z3,demonstration.o,,,82911729.0,ns,2
Engine,Z3,demonstration.o,,,82691439.0,ns,2
Engine,Z3,demonstration.o,,,82812005.0,ns,2
Engine,Z3,demonstration.o,,,82783323.0,ns,2
Engine,Z3,demonstration.o,,,82805656.0,ns,2
Engine,Z3,demonstration.o,,,82798982.0,ns,2
Engine,Z3,demonstration.o,,,82763323.0,ns,2
Engine,Z3,demonstration.o,,,82838469.0,ns,2
Engine,Z3,demonstration.o,,,82876910.0,ns,2
Engine,Z3,demonstration.o,,,82846125.0,ns,2
Engine,Z3,demonstration.o,,,82818268.0,ns,2
Engine,Z3,demonstration.o,,,82771478.0,ns,2
Engine,Z3,demonstration.o,,,82912384.0,ns,2
Engine,Z3,demonstration.o,,,82926191.0,ns,2
Engine,Z3,demonstration.o,,,82850075.0,ns,2
Engine,Z3,demonstration.o,,,82741043.0,ns,2
Engine,Z3,demonstration.o,,,82707613.0,ns,2
Engine,Z3,demonstration.o,,,82744543.0,ns,2
Engine,Z3,demonstration.o,,,82790441.0,ns,2
Engine,Z3,demonstration.o,,,82760552.0,ns,2
Engine,Z3,demonstration.o,,,82687073.0,ns,2
Engine,Z3,demonstration.o,,,82798376.0,ns,2
Engine,Z3,demonstration.o,,,82815471.0,ns,2
Engine,Z3,demonstration.o,,,82785570.0,ns,2
Engine,Z3,demonstration.o,,,82645484.0,ns,2
Engine,Z3,demonstration.o,,,82660739.0,ns,2
Engine,Z3,demonstration.o,,,82829177.0,ns,2
Engine,Z3,demonstration.o,,,82771728.0,ns,2
Engine,Z3,demonstration.o,,,82769278.0,ns,2
Engine,Z3,demonstration.o,,,82910765.0,ns,2
Engine,Z3,demonstration.o,,,82878509.0,ns,2
Engine,Z3,demonstration.o,,,82827617.0,ns,2
Engine,Z3,demonstration.o,,,82918647.0,ns,2
Engine,Z3,demonstration.o,,,82846416.0,ns,2
Engine,Z3,demonstration.o,,,82884328.0,ns,2
