group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Boolector,long-loop-fixed.o,,,53719486.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53724321.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53769191.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53789632.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53751130.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53731755.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53718268.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53848819.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53778714.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53731893.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53750826.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53797539.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53741904.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53725573.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53738257.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53706813.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53727427.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53721676.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53747692.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53681163.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53718026.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53771426.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53736051.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53714727.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53697865.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53753540.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53721793.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53707519.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53714663.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53733869.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53715316.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53750165.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53756917.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53725065.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53743348.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53746136.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53760873.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53757936.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53728587.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53756783.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53755360.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53780043.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53745491.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53748370.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53748907.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53756755.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53755311.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53759749.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53741184.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53735992.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53747972.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53768064.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53794839.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53787775.0,ns,9
Engine,Boolector,long-loop-fixed.o,,,53738455.0,ns,9
