group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Rarity,select-rare.o,,,1722386.0,ns,1
Engine,Rarity,select-rare.o,,,3389856.0,ns,2
Engine,Rarity,select-rare.o,,,5129021.0,ns,3
Engine,Rarity,select-rare.o,,,6770605.0,ns,4
Engine,Rarity,select-rare.o,,,8550811.0,ns,5
Engine,Rarity,select-rare.o,,,10178055.0,ns,6
Engine,Rarity,select-rare.o,,,11977740.0,ns,7
Engine,Rarity,select-rare.o,,,13755879.0,ns,8
Engine,Rarity,select-rare.o,,,15425904.0,ns,9
Engine,Rarity,select-rare.o,,,17182081.0,ns,10
Engine,Rarity,select-rare.o,,,18701277.0,ns,11
Engine,Rarity,select-rare.o,,,20484868.0,ns,12
Engine,Rarity,select-rare.o,,,22142463.0,ns,13
Engine,Rarity,select-rare.o,,,23872555.0,ns,14
Engine,Rarity,select-rare.o,,,25568154.0,ns,15
Engine,Rarity,select-rare.o,,,27283264.0,ns,16
Engine,Rarity,select-rare.o,,,29042715.0,ns,17
Engine,Rarity,select-rare.o,,,30709543.0,ns,18
Engine,Rarity,select-rare.o,,,32292074.0,ns,19
Engine,Rarity,select-rare.o,,,33978655.0,ns,20
Engine,Rarity,select-rare.o,,,35811070.0,ns,21
Engine,Rarity,select-rare.o,,,37548130.0,ns,22
Engine,Rarity,select-rare.o,,,39298125.0,ns,23
Engine,Rarity,select-rare.o,,,40931742.0,ns,24
Engine,Rarity,select-rare.o,,,42706834.0,ns,25
Engine,Rarity,select-rare.o,,,44322671.0,ns,26
Engine,Rarity,select-rare.o,,,46073668.0,ns,27
Engine,Rarity,select-rare.o,,,47827441.0,ns,28
Engine,Rarity,select-rare.o,,,49446396.0,ns,29
Engine,Rarity,select-rare.o,,,51268386.0,ns,30
Engine,Rarity,select-rare.o,,,53023716.0,ns,31
Engine,Rarity,select-rare.o,,,54567467.0,ns,32
Engine,Rarity,select-rare.o,,,56461890.0,ns,33
Engine,Rarity,select-rare.o,,,58093852.0,ns,34
Engine,Rarity,select-rare.o,,,59547416.0,ns,35
Engine,Rarity,select-rare.o,,,61398611.0,ns,36
Engine,Rarity,select-rare.o,,,62967724.0,ns,37
Engine,Rarity,select-rare.o,,,64882395.0,ns,38
Engine,Rarity,select-rare.o,,,66292029.0,ns,39
Engine,Rarity,select-rare.o,,,68192959.0,ns,40
Engine,Rarity,select-rare.o,,,69972784.0,ns,41
Engine,Rarity,select-rare.o,,,71614477.0,ns,42
Engine,Rarity,select-rare.o,,,73254192.0,ns,43
Engine,Rarity,select-rare.o,,,75136561.0,ns,44
Engine,Rarity,select-rare.o,,,76685955.0,ns,45
Engine,Rarity,select-rare.o,,,78339906.0,ns,46
Engine,Rarity,select-rare.o,,,80175004.0,ns,47
Engine,Rarity,select-rare.o,,,81775978.0,ns,48
Engine,Rarity,select-rare.o,,,83529426.0,ns,49
Engine,Rarity,select-rare.o,,,85168377.0,ns,50
Engine,Rarity,select-rare.o,,,87022814.0,ns,51
Engine,Rarity,select-rare.o,,,88619324.0,ns,52
Engine,Rarity,select-rare.o,,,90639428.0,ns,53
Engine,Rarity,select-rare.o,,,92209037.0,ns,54
Engine,Rarity,select-rare.o,,,94359557.0,ns,55
Engine,Rarity,select-rare.o,,,95759667.0,ns,56
Engine,Rarity,select-rare.o,,,98941679.0,ns,57
Engine,Rarity,select-rare.o,,,99839307.0,ns,58
Engine,Rarity,select-rare.o,,,100612077.0,ns,59
Engine,Rarity,select-rare.o,,,102353314.0,ns,60
Engine,Rarity,select-rare.o,,,104129283.0,ns,61
Engine,Rarity,select-rare.o,,,106153632.0,ns,62
Engine,Rarity,select-rare.o,,,107491562.0,ns,63
Engine,Rarity,select-rare.o,,,109096306.0,ns,64
Engine,Rarity,select-rare.o,,,110990961.0,ns,65
Engine,Rarity,select-rare.o,,,112751953.0,ns,66
Engine,Rarity,select-rare.o,,,114258809.0,ns,67
Engine,Rarity,select-rare.o,,,115998289.0,ns,68
Engine,Rarity,select-rare.o,,,117614056.0,ns,69
Engine,Rarity,select-rare.o,,,119269869.0,ns,70
Engine,Rarity,select-rare.o,,,121059549.0,ns,71
Engine,Rarity,select-rare.o,,,122490907.0,ns,72
Engine,Rarity,select-rare.o,,,124530511.0,ns,73
Engine,Rarity,select-rare.o,,,126252423.0,ns,74
Engine,Rarity,select-rare.o,,,128106063.0,ns,75
Engine,Rarity,select-rare.o,,,129463928.0,ns,76
Engine,Rarity,select-rare.o,,,131395676.0,ns,77
Engine,Rarity,select-rare.o,,,133174557.0,ns,78
Engine,Rarity,select-rare.o,,,134479279.0,ns,79
Engine,Rarity,select-rare.o,,,136360899.0,ns,80
Engine,Rarity,select-rare.o,,,137894184.0,ns,81
Engine,Rarity,select-rare.o,,,139457255.0,ns,82
Engine,Rarity,select-rare.o,,,141614404.0,ns,83
Engine,Rarity,select-rare.o,,,143159157.0,ns,84
Engine,Rarity,select-rare.o,,,144899491.0,ns,85
Engine,Rarity,select-rare.o,,,146698338.0,ns,86
Engine,Rarity,select-rare.o,,,148141157.0,ns,87
Engine,Rarity,select-rare.o,,,150267484.0,ns,88
