group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Path Exploration Strategies,Coin Flip,if-else.c,,,84616400.0,ns,2
Path Exploration Strategies,Coin Flip,if-else.c,,,233057364.0,ns,4
Path Exploration Strategies,Coin Flip,if-else.c,,,338768516.0,ns,6
Path Exploration Strategies,Coin Flip,if-else.c,,,444559766.0,ns,8
Path Exploration Strategies,Coin Flip,if-else.c,,,593290797.0,ns,10
Path Exploration Strategies,Coin Flip,if-else.c,,,656511310.0,ns,12
Path Exploration Strategies,Coin Flip,if-else.c,,,720099935.0,ns,14
Path Exploration Strategies,Coin Flip,if-else.c,,,825851908.0,ns,16
Path Exploration Strategies,Coin Flip,if-else.c,,,995157031.0,ns,18
Path Exploration Strategies,Coin Flip,if-else.c,,,1058992636.0,ns,20
