group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Boolector,select-rare.o,,,51971026.0,ns,8
Engine,Boolector,select-rare.o,,,51985042.0,ns,8
Engine,Boolector,select-rare.o,,,51985526.0,ns,8
Engine,Boolector,select-rare.o,,,51990597.0,ns,8
Engine,Boolector,select-rare.o,,,52014671.0,ns,8
Engine,Boolector,select-rare.o,,,51948292.0,ns,8
Engine,Boolector,select-rare.o,,,51975784.0,ns,8
Engine,Boolector,select-rare.o,,,52007463.0,ns,8
Engine,Boolector,select-rare.o,,,51998274.0,ns,8
Engine,Boolector,select-rare.o,,,52006656.0,ns,8
Engine,Boolector,select-rare.o,,,51998154.0,ns,8
Engine,Boolector,select-rare.o,,,51954038.0,ns,8
Engine,Boolector,select-rare.o,,,52003922.0,ns,8
Engine,Boolector,select-rare.o,,,51966552.0,ns,8
Engine,Boolector,select-rare.o,,,51954880.0,ns,8
Engine,Boolector,select-rare.o,,,52033827.0,ns,8
Engine,Boolector,select-rare.o,,,51964820.0,ns,8
Engine,Boolector,select-rare.o,,,52022250.0,ns,8
Engine,Boolector,select-rare.o,,,51991744.0,ns,8
Engine,Boolector,select-rare.o,,,51991760.0,ns,8
Engine,Boolector,select-rare.o,,,51988602.0,ns,8
Engine,Boolector,select-rare.o,,,51940334.0,ns,8
Engine,Boolector,select-rare.o,,,51948972.0,ns,8
Engine,Boolector,select-rare.o,,,52005714.0,ns,8
Engine,Boolector,select-rare.o,,,51960454.0,ns,8
Engine,Boolector,select-rare.o,,,51982525.0,ns,8
Engine,Boolector,select-rare.o,,,52068723.0,ns,8
Engine,Boolector,select-rare.o,,,51989965.0,ns,8
Engine,Boolector,select-rare.o,,,51980065.0,ns,8
Engine,Boolector,select-rare.o,,,51985463.0,ns,8
Engine,Boolector,select-rare.o,,,51990671.0,ns,8
Engine,Boolector,select-rare.o,,,52019467.0,ns,8
Engine,Boolector,select-rare.o,,,52012748.0,ns,8
Engine,Boolector,select-rare.o,,,52000295.0,ns,8
Engine,Boolector,select-rare.o,,,52037872.0,ns,8
Engine,Boolector,select-rare.o,,,51999688.0,ns,8
Engine,Boolector,select-rare.o,,,51973576.0,ns,8
Engine,Boolector,select-rare.o,,,51956085.0,ns,8
Engine,Boolector,select-rare.o,,,51998032.0,ns,8
Engine,Boolector,select-rare.o,,,51993384.0,ns,8
Engine,Boolector,select-rare.o,,,52015395.0,ns,8
Engine,Boolector,select-rare.o,,,52007314.0,ns,8
Engine,Boolector,select-rare.o,,,52002575.0,ns,8
Engine,Boolector,select-rare.o,,,51980696.0,ns,8
Engine,Boolector,select-rare.o,,,51998200.0,ns,8
Engine,Boolector,select-rare.o,,,52001313.0,ns,8
Engine,Boolector,select-rare.o,,,51993561.0,ns,8
Engine,Boolector,select-rare.o,,,51982748.0,ns,8
Engine,Boolector,select-rare.o,,,51981211.0,ns,8
Engine,Boolector,select-rare.o,,,51952177.0,ns,8
Engine,Boolector,select-rare.o,,,51971508.0,ns,8
Engine,Boolector,select-rare.o,,,51973321.0,ns,8
Engine,Boolector,select-rare.o,,,51986462.0,ns,8
Engine,Boolector,select-rare.o,,,52006851.0,ns,8
