group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Engine,Rarity,select-rare.o,,,1726696.0,ns,1
Engine,Rarity,select-rare.o,,,3364736.0,ns,2
Engine,Rarity,select-rare.o,,,5029362.0,ns,3
Engine,Rarity,select-rare.o,,,6731798.0,ns,4
Engine,Rarity,select-rare.o,,,8405431.0,ns,5
Engine,Rarity,select-rare.o,,,10057364.0,ns,6
Engine,Rarity,select-rare.o,,,11718246.0,ns,7
Engine,Rarity,select-rare.o,,,13437933.0,ns,8
Engine,Rarity,select-rare.o,,,15086441.0,ns,9
Engine,Rarity,select-rare.o,,,16760639.0,ns,10
Engine,Rarity,select-rare.o,,,18497087.0,ns,11
Engine,Rarity,select-rare.o,,,20156969.0,ns,12
Engine,Rarity,select-rare.o,,,21896372.0,ns,13
Engine,Rarity,select-rare.o,,,23427067.0,ns,14
Engine,Rarity,select-rare.o,,,25196797.0,ns,15
Engine,Rarity,select-rare.o,,,26891556.0,ns,16
Engine,Rarity,select-rare.o,,,28593200.0,ns,17
Engine,Rarity,select-rare.o,,,30278406.0,ns,18
Engine,Rarity,select-rare.o,,,31894693.0,ns,19
Engine,Rarity,select-rare.o,,,33554331.0,ns,20
Engine,Rarity,select-rare.o,,,35201089.0,ns,21
Engine,Rarity,select-rare.o,,,36874617.0,ns,22
Engine,Rarity,select-rare.o,,,38693206.0,ns,23
Engine,Rarity,select-rare.o,,,40351577.0,ns,24
Engine,Rarity,select-rare.o,,,41989228.0,ns,25
Engine,Rarity,select-rare.o,,,43583347.0,ns,26
Engine,Rarity,select-rare.o,,,45333213.0,ns,27
Engine,Rarity,select-rare.o,,,47030386.0,ns,28
Engine,Rarity,select-rare.o,,,48582737.0,ns,29
Engine,Rarity,select-rare.o,,,50385581.0,ns,30
Engine,Rarity,select-rare.o,,,52002010.0,ns,31
Engine,Rarity,select-rare.o,,,53715060.0,ns,32
Engine,Rarity,select-rare.o,,,55420925.0,ns,33
Engine,Rarity,select-rare.o,,,57085956.0,ns,34
Engine,Rarity,select-rare.o,,,58756920.0,ns,35
Engine,Rarity,select-rare.o,,,60410735.0,ns,36
Engine,Rarity,select-rare.o,,,62104824.0,ns,37
Engine,Rarity,select-rare.o,,,63978407.0,ns,38
Engine,Rarity,select-rare.o,,,65534457.0,ns,39
Engine,Rarity,select-rare.o,,,67038824.0,ns,40
Engine,Rarity,select-rare.o,,,68728849.0,ns,41
Engine,Rarity,select-rare.o,,,70454484.0,ns,42
Engine,Rarity,select-rare.o,,,72158134.0,ns,43
Engine,Rarity,select-rare.o,,,73880322.0,ns,44
Engine,Rarity,select-rare.o,,,75697918.0,ns,45
Engine,Rarity,select-rare.o,,,77205164.0,ns,46
Engine,Rarity,select-rare.o,,,78841612.0,ns,47
Engine,Rarity,select-rare.o,,,80589021.0,ns,48
Engine,Rarity,select-rare.o,,,82294656.0,ns,49
Engine,Rarity,select-rare.o,,,83921628.0,ns,50
Engine,Rarity,select-rare.o,,,85564772.0,ns,51
Engine,Rarity,select-rare.o,,,87306075.0,ns,52
Engine,Rarity,select-rare.o,,,88934725.0,ns,53
Engine,Rarity,select-rare.o,,,90488625.0,ns,54
Engine,Rarity,select-rare.o,,,92301847.0,ns,55
Engine,Rarity,select-rare.o,,,93965024.0,ns,56
